,Step,Value
0,0,-1.1679860353469849
1,1,-1.1634302753210068
2,2,-1.1599619060575963
3,3,-1.1568293848754765
4,4,-1.154427104625164
5,5,-1.1487147952106873
6,6,-1.1438239836233266
7,7,-1.1415057122013998
8,8,-1.135875427713892
9,9,-1.1253250947356146
10,10,-1.12773440258228
11,11,-1.1237594780997235
12,12,-1.1254609215953986
13,13,-1.116917648992146
14,14,-1.1162038138413357
15,15,-1.117306376695125
16,16,-1.1155235973472337
17,17,-1.1100049026211292
18,18,-1.1077456058389137
19,19,-1.1158787673227915
20,20,-1.1165085898695188
21,21,-1.1111062902400117
22,22,-1.102881471992267
23,23,-1.0997425127763802
24,24,-1.0942073085558277
25,25,-1.0930866790280087
26,26,-1.096899825785626
27,27,-1.092760651379355
28,28,-1.0888441264419089
29,29,-1.0808277185947148
30,30,-1.076818428201332
31,31,-1.0688721563867984
32,32,-1.0646541186360254
33,33,-1.0575221695011712
34,34,-1.0554081257512966
35,35,-1.0509768553343903
36,36,-1.0485656562934136
37,37,-1.042669552609813
38,38,-1.0367339839190612
39,39,-1.0331805368020004
40,40,-1.022623324455701
41,41,-1.0218498138797918
42,42,-1.0236925111145292
43,43,-1.0160292135349123
44,44,-1.008260430515259
45,45,-1.0095314619980702
46,46,-1.0041226928097033
47,47,-1.0010828956778253
48,48,-0.9896967737344156
49,49,-0.9876529039127209
50,50,-0.9811710367173704
51,51,-0.971732123340174
52,52,-0.963115310826455
53,53,-0.9599052445063679
54,54,-0.9604952484577887
55,55,-0.9645673851875357
56,56,-0.9607133528094305
57,57,-0.9633495068446601
58,58,-0.9574784238474416
59,59,-0.95018029325639
60,60,-0.9514809154699291
61,61,-0.9452306136685357
62,62,-0.9454829718814063
63,63,-0.9450340588772606
64,64,-0.9374133244341083
65,65,-0.9373033086690915
66,66,-0.9355379972687639
67,67,-0.9338810423506264
68,68,-0.9326960108377571
69,69,-0.9339714212299441
70,70,-0.9285917302419986
71,71,-0.9230109804119411
72,72,-0.920600279143779
73,73,-0.9192801627830816
74,74,-0.9223688159568102
75,75,-0.9147318339885434
76,76,-0.9107028255041191
77,77,-0.9097291222298137
78,78,-0.9040652969651571
79,79,-0.9048204611322701
80,80,-0.8988601937567796
81,81,-0.8989010642894953
82,82,-0.893691309990442
83,83,-0.8913115259159968
84,84,-0.8912552656916651
85,85,-0.8850161151653522
86,86,-0.8818451799353295
87,87,-0.8834760458296866
88,88,-0.881847470235434
89,89,-0.8824328197432466
90,90,-0.8756633762775836
91,91,-0.8641373772041389
92,92,-0.8576402075122023
93,93,-0.8496998426526707
94,94,-0.8437557516930324
95,95,-0.8370413567079548
96,96,-0.8332293734549392
97,97,-0.8276018929027438
98,98,-0.8150719980624805
99,99,-0.8083817155584907
100,100,-0.7968257910520795
101,101,-0.7900833600308352
102,102,-0.7826844056234156
103,103,-0.7685966318634689
104,104,-0.7582830567687416
105,105,-0.7432944814100234
106,106,-0.7265484032369678
107,107,-0.7222766405705268
108,108,-0.7164349598288554
109,109,-0.7091519992598909
110,110,-0.6941392460901069
111,111,-0.6766962984248144
112,112,-0.6681649454190036
113,113,-0.6654616383787159
114,114,-0.6507326221660179
115,115,-0.6447541697455891
116,116,-0.634715678572368
117,117,-0.622166896916344
118,118,-0.6146706095897606
119,119,-0.6071538350033577
120,120,-0.6036450093823014
121,121,-0.5984677504081493
122,122,-0.5907082549008901
123,123,-0.5862386075020276
124,124,-0.5757348527398545
125,125,-0.5684422566481402
126,126,-0.5619130146104188
127,127,-0.5610347172103435
128,128,-0.5500056217786957
129,129,-0.5321382097373919
130,130,-0.5257567479313227
131,131,-0.5192333853701555
132,132,-0.5158518175279305
133,133,-0.5129896129961067
134,134,-0.5087478946931462
135,135,-0.5071583173050908
136,136,-0.5007135103206518
137,137,-0.4942651860177592
138,138,-0.4890059728460982
139,139,-0.4806112935192486
140,140,-0.4711395823107788
141,141,-0.46636158571977543
142,142,-0.45813335520899034
143,143,-0.45208351594653706
144,144,-0.4509516179027409
145,145,-0.4436373479433485
146,146,-0.4359019727105848
147,147,-0.42946327093134345
148,148,-0.41708246945600824
149,149,-0.4163870345400622
150,150,-0.41207557078211327
151,151,-0.4019518185103807
152,152,-0.3939657131394172
153,153,-0.3892110323771656
154,154,-0.38719576890331225
155,155,-0.38324135105670587
156,156,-0.37873235814524175
157,157,-0.37113698619628904
158,158,-0.3637590270742248
159,159,-0.35616727957024436
160,160,-0.35505435929701046
161,161,-0.34872837817018487
162,162,-0.3445619794059972
163,163,-0.33847287126440684
164,164,-0.33494498480511997
165,165,-0.3253172716266092
166,166,-0.32286879514242356
167,167,-0.32085694480577404
168,168,-0.3173341005921652
169,169,-0.3146555682526516
170,170,-0.3063478600880923
171,171,-0.30523625255449693
172,172,-0.30380017115092117
173,173,-0.3023734604605206
174,174,-0.29426390887650716
175,175,-0.29124072502542875
176,176,-0.28296658612672937
177,177,-0.2774242950003406
178,178,-0.2760745462870449
179,179,-0.26205676747609097
180,180,-0.2529888869694514
181,181,-0.2455298432864672
182,182,-0.24181358922186957
183,183,-0.2402140462356491
184,184,-0.23126376632035833
185,185,-0.2282197585806176
186,186,-0.2249254191412405
187,187,-0.22368127226322262
188,188,-0.21637457369063767
189,189,-0.2174126201938741
190,190,-0.21542292946382774
191,191,-0.2142345636354523
192,192,-0.20842066069185441
193,193,-0.20981818847996303
194,194,-0.19587689388802534
195,195,-0.19001882783095814
196,196,-0.19049898769861032
197,197,-0.1868422104571413
198,198,-0.18936327943380768
199,199,-0.1829354283281598
200,200,-0.17793967832105845
201,201,-0.1753103605050615
202,202,-0.165651992999254
203,203,-0.1642159646760036
204,204,-0.1719413061688844
205,205,-0.16478171280552928
206,206,-0.1666022679032354
207,207,-0.16257027654978173
208,208,-0.1628165877405923
209,209,-0.16046509759413005
210,210,-0.16150794665633572
211,211,-0.15918324550700927
212,212,-0.1570573334927918
213,213,-0.15170519323996762
214,214,-0.15129196181032598
215,215,-0.1500688465688845
216,216,-0.15169382090684555
217,217,-0.15176636363430435
218,218,-0.15243598065286854
219,219,-0.14308664201790966
220,220,-0.1423076650411281
221,221,-0.1372019738258212
222,222,-0.1318537571428494
223,223,-0.12486483778698179
224,224,-0.10967020695290468
225,225,-0.11141514261397407
226,226,-0.1077897136910196
227,227,-0.10666062056940312
228,228,-0.11070608420890868
229,229,-0.10809789409721968
