,Step,Value
0,0,-1.967500925064087
1,1,-1.9484420843422414
2,2,-1.9381934443339708
3,3,-1.924409996552542
4,4,-1.9139025075956608
5,5,-1.900521460482198
6,6,-1.8901306780930667
7,7,-1.8800846372871345
8,8,-1.8659944631139893
9,9,-1.8524912387634966
10,10,-1.8475607546767192
11,11,-1.835422872650086
12,12,-1.8169438921098755
13,13,-1.799490500103235
14,14,-1.7842854378866075
15,15,-1.7716730782453667
16,16,-1.7704398403141703
17,17,-1.7588453853009212
18,18,-1.7482787811993843
19,19,-1.733270945876528
20,20,-1.7311235973262713
21,21,-1.7185899448328898
22,22,-1.7161896295959105
23,23,-1.7091770548560425
24,24,-1.7005727550535223
25,25,-1.6930464047727318
26,26,-1.6910045861355423
27,27,-1.6760762339294393
28,28,-1.6640540676718785
29,29,-1.6522880961727873
30,30,-1.6339822449316042
31,31,-1.6211217861025693
32,32,-1.607354283277459
33,33,-1.5962885742831474
34,34,-1.5903599326008322
35,35,-1.5842132583808723
36,36,-1.5771736595428294
37,37,-1.5669232013287486
38,38,-1.55924751782792
39,39,-1.5428150608403823
40,40,-1.5376002173742362
41,41,-1.5318412410526974
42,42,-1.528483772579472
43,43,-1.5166089097267432
44,44,-1.5143156536430105
45,45,-1.5037015441189094
46,46,-1.4939166569211666
47,47,-1.484929558919231
48,48,-1.476187244369086
49,49,-1.4621054703845198
50,50,-1.455565630704669
51,51,-1.4503736232890712
52,52,-1.4423958660982337
53,53,-1.4372031845454436
54,54,-1.4313330787644802
55,55,-1.4225323652072508
56,56,-1.4166310328538536
57,57,-1.40745729429646
58,58,-1.3944908114859704
59,59,-1.3928503882153185
60,60,-1.3907062948098499
61,61,-1.386940428112667
62,62,-1.3805830484725772
63,63,-1.3781570547855657
64,64,-1.3723251816130075
65,65,-1.36859859193677
66,66,-1.3683426888154064
67,67,-1.3643663420530612
68,68,-1.3560227111289829
69,69,-1.3505855432904592
70,70,-1.3475219018697007
71,71,-1.3429126901790371
72,72,-1.3399294203252814
73,73,-1.3320552203927347
74,74,-1.3238461193377944
75,75,-1.32739079188961
76,76,-1.3210391403212312
77,77,-1.3188707000975233
78,78,-1.3151353881055887
79,79,-1.3050034866175877
80,80,-1.3032189215409167
81,81,-1.292258067939235
82,82,-1.287693345321633
83,83,-1.2801371927417153
84,84,-1.268195833658503
85,85,-1.2609427271647982
86,86,-1.2512873171150778
87,87,-1.2519096411065551
88,88,-1.245418633026712
89,89,-1.2411992771951403
90,90,-1.2344613599074648
91,91,-1.2347475808878579
92,92,-1.232014907081886
93,93,-1.2282056468259932
94,94,-1.229681200678778
95,95,-1.228180803285714
96,96,-1.222298495026836
97,97,-1.2190046560087653
98,98,-1.2112278410599293
99,99,-1.2071163423972928
100,100,-1.2087528560992506
101,101,-1.1988772453260486
102,102,-1.195904630261475
103,103,-1.1875822770192586
104,104,-1.1840886888224302
105,105,-1.1825835322484608
106,106,-1.1778440454596064
107,107,-1.172345546802267
108,108,-1.1742953586987461
109,109,-1.1698487354445146
110,110,-1.1622821010744977
111,111,-1.1506246845966026
112,112,-1.1450793415144076
113,113,-1.1451604983346304
114,114,-1.1424071487710152
115,115,-1.1443806064085187
116,116,-1.1449282713966034
117,117,-1.136920668160329
118,118,-1.1311120586600458
119,119,-1.1276388350165376
120,120,-1.1160079954645161
121,121,-1.1191784409081253
122,122,-1.120635070872442
123,123,-1.1189956262582688
124,124,-1.1160734660352674
125,125,-1.1202327868596864
126,126,-1.1133728424353988
127,127,-1.104654123152013
128,128,-1.1110503900717381
129,129,-1.104153553980984
130,130,-1.09970522377393
131,131,-1.0928543820874526
132,132,-1.07771996108171
133,133,-1.0808277647992164
134,134,-1.085160795458872
135,135,-1.0780002659287369
136,136,-1.0768556765585195
137,137,-1.0775540806999166
138,138,-1.0758270584313925
139,139,-1.0689355157952674
140,140,-1.064213843237336
141,141,-1.0522394523323235
142,142,-1.0470464938727668
143,143,-1.0355089607297554
144,144,-1.0294941555892014
145,145,-1.0282508951942364
146,146,-1.0254868517612457
147,147,-1.019369233428646
148,148,-1.0180808904681768
149,149,-1.011232675600551
150,150,-1.0098190143442327
151,151,-1.0072836129256897
152,152,-1.0053245627785647
153,153,-1.0037693313624338
154,154,-1.005376134966534
155,155,-0.9979094294788186
156,156,-0.9975445590218829
157,157,-0.9986111003739554
158,158,-0.9884782349396088
159,159,-0.9883556938345289
160,160,-0.9857643378191496
161,161,-0.9833697479058476
162,162,-0.9819707639096459
163,163,-0.984420861940334
164,164,-0.9827531439854127
165,165,-0.9837206657891956
166,166,-0.9863237352772387
167,167,-0.9806466647473766
168,168,-0.9770858594778097
169,169,-0.9741541039857156
170,170,-0.9696767611298718
171,171,-0.9734230903947175
172,172,-0.9712219716590824
173,173,-0.9722430953052998
174,174,-0.9675547981441703
175,175,-0.965838379973062
176,176,-0.9594967157053443
177,177,-0.9516517033679701
178,178,-0.9438055491346501
179,179,-0.9370805665393074
180,180,-0.928653996943832
181,181,-0.9187342928516931
182,182,-0.9163987231852
183,183,-0.9202597110147647
184,184,-0.9182288997360684
185,185,-0.9209139622706901
186,186,-0.9199950544719044
187,187,-0.9183543193536304
188,188,-0.9165593482569188
189,189,-0.9151590866387066
190,190,-0.9136026724690969
191,191,-0.912453260448538
192,192,-0.910119237664037
193,193,-0.9035392389109393
194,194,-0.9058814028458351
195,195,-0.9055442688625046
196,196,-0.9068143426362056
197,197,-0.9037295310093507
198,198,-0.9046868146568149
199,199,-0.9019938862818989
200,200,-0.8936553433223096
201,201,-0.8895875914232624
202,202,-0.8889438718858684
203,203,-0.8818220925033382
204,204,-0.8785761208716322
205,205,-0.8748554312457101
206,206,-0.8738397427436473
207,207,-0.8697808472669517
208,208,-0.8692720893495114
209,209,-0.8628988401430947
210,210,-0.8620845356558483
211,211,-0.8575361448710137
212,212,-0.8542336820963148
213,213,-0.8519638370880576
214,214,-0.8569358316555621
215,215,-0.8587225920180531
216,216,-0.8461985600747517
217,217,-0.8382098743945631
218,218,-0.8302561399275034
219,219,-0.8268703802788883
220,220,-0.8239068349720025
221,221,-0.821102872780539
222,222,-0.8213801772779837
223,223,-0.8175409248940894
224,224,-0.8150763052064202
225,225,-0.8151501742983303
226,226,-0.8138808590873675
227,227,-0.8097539449609866
228,228,-0.8118634219794248
229,229,-0.810258750505297
230,230,-0.8081613190404358
231,231,-0.8093538184322382
232,232,-0.8066628613436113
233,233,-0.8020130889594805
234,234,-0.7907292941223034
235,235,-0.7913500060658002
236,236,-0.7906991132219772
237,237,-0.7893572435020346
238,238,-0.7878054485109001
239,239,-0.7822202586464766
240,240,-0.7791958285271482
241,241,-0.7771251418759786
242,242,-0.7785848194742858
243,243,-0.784941593035143
244,244,-0.7909600154875125
245,245,-0.7911626492098193
246,246,-0.7917553144905635
247,247,-0.7908898264797063
248,248,-0.7882442365015762
249,249,-0.7905070351586704
250,250,-0.784634461885264
251,251,-0.7866299265391774
252,252,-0.7792883475998517
253,253,-0.7806602504626593
254,254,-0.7718693255293294
255,255,-0.7713902803777501
256,256,-0.7675194019470272
257,257,-0.7672056110352
258,258,-0.767731175435903
259,259,-0.7618345080387484
260,260,-0.7589822144295942
261,261,-0.7536144658104886
262,262,-0.7523797647291964
263,263,-0.7475275199784042
264,264,-0.7484359772167075
265,265,-0.7368602264771713
266,266,-0.7370162057639513
267,267,-0.7331296321038148
268,268,-0.7329086477677925
269,269,-0.7297729822963173
270,270,-0.7306965044379232
271,271,-0.7265498190847633
272,272,-0.7287634758383356
273,273,-0.7186663129675407
274,274,-0.7207732555230993
275,275,-0.7173740574112468
276,276,-0.7175839858558798
277,277,-0.7211307235691898
278,278,-0.7231229522479191
279,279,-0.7280191364751347
280,280,-0.7267803145485547
281,281,-0.7283027892417762
282,282,-0.7295812622563027
283,283,-0.7247294434703809
