Wall time,Step,Value
1657733622,688,-0.002327157
1657734068,714,-0.002317425
1657734186,718,-0.002329309
1657734276,722,-0.001750202
1657734286,723,-0.001574515
1657734435,730,-0.002236932
1657734545,739,-0.002317425
1657734637,743,-0.00248727
1657734757,747,-0.000703391
1657734868,752,-0.002338203
1657734902,756,-0.001505318
1657735090,765,-0.00185784
1657735201,769,-0.001799631
1657735207,770,-0.002060502
1657735213,771,-0.002072366
1657735254,773,-0.00242734
1657735260,774,-0.002060502
1657735329,780,-0.000807925
1657735386,785,-0.002317425
1657735486,787,-0.002490701
1657735574,792,-0.001053993
1657735600,793,-0.000620891
1657735606,794,-0.002227783
1657735693,798,-0.000894434
1657735741,802,-0.002451257
1657735914,807,-0.000650264
1657735922,808,-0.001694707
1657735930,809,-0.001729606
1657736433,832,-0.001886982
1657736483,836,-0.000748241
1657736669,843,-0.001310743
1657737155,869,-0.000872927
1657737219,874,-0.002490701
1657737239,876,-0.001140859
1657737347,882,-0.002451257
1657737462,890,-0.001992516
1657737525,896,-0.001386192
1657737604,900,-0.001924667
1657737776,907,-0.000915228
1657737796,909,-0.001584288
1657737907,915,-0.001821554
1657737990,917,-0.00205924
1657738256,931,-0.000945356
1657738306,932,-0.002297762
1657738518,942,-0.002489029
1657738540,945,-0.001422073
1657738679,954,-0.001444445
1657738728,958,-0.001959567
1657738745,961,-0.002089201
1657738797,962,-0.001009775
1657738977,971,-0.001221386
1657739018,972,-0.002490105
1657739119,978,-0.00143132
1657739129,979,-0.001402021
1657739232,984,-0.00137722
1657739480,996,-0.001135307
1657739601,1002,-0.002493559
1657739632,1005,-0.002110976
1657739838,1014,-0.000935421
1657739983,1017,-0.000716519
1657740088,1025,-0.002119055
1657740263,1037,-0.001818065
1657740360,1044,-0.002490701
1657740654,1057,-0.001970462
1657740761,1063,-0.000804697
1657740792,1066,-0.00228785
1657740882,1068,-0.000949408
1657740946,1072,-0.001474738
1657740978,1076,-0.001891854
1657741012,1078,-0.002366252
1657741077,1083,-0.002370273
1657741083,1084,-0.002120545
1657741271,1093,-0.002490701
1657741373,1099,-0.001280679
1657741490,1103,-0.001075838
1657741496,1104,-0.00227715
1657741716,1114,-0.002467683
1657741831,1119,-0.002330093
1657742179,1133,-0.001456958
1657742579,1155,-0.001994146
1657742583,1156,-0.002493559
1657742699,1160,-0.000982415
1657742710,1161,-0.001315313
1657742805,1162,-0.001087103
1657743115,1180,-0.001365981
1657743370,1192,-0.000636181
1657743385,1193,-0.001064503
1657743508,1199,-0.002490701
1657743522,1201,-0.00158451
1657743606,1206,-0.002297762
1657744116,1232,-0.002493559
1657744137,1234,-0.000935301
1657744404,1244,-0.001470731
1657744575,1255,-0.00085097
1657744694,1258,-0.002100389
1657744722,1261,-0.002297762
1657745159,1281,-0.000652275
1657745281,1287,-0.002307623
1657745376,1294,-0.001917207
1657745457,1300,-0.002433642
1657745613,1310,-0.001235924
1657745706,1316,-0.001087731
1657745773,1319,-0.002435131
1657745945,1327,-0.001825899
1657745966,1330,-0.002487202
1657746047,1333,-0.000632626
1657746076,1336,-0.001210167
1657746157,1337,-0.001877205
1657746515,1355,-0.00181895
1657746832,1370,-0.001647988
1657747071,1385,-0.001102498
1657747124,1388,-0.002108578
1657747129,1389,-0.002327157
1657747145,1391,-0.002033462
1657747169,1392,-0.002455154
1657747586,1414,-0.001613806
1657747684,1419,-0.000728344
1657747794,1422,-0.0019036
1657747823,1426,-0.002013747
1657747883,1428,-0.001265244
1657747985,1432,-0.002417813
1657748010,1436,-0.001874176
1657748074,1440,-0.002307623
1657748369,1465,-0.002433642
1657748379,1466,-0.001451871
1657748689,1477,-0.001107395
1657748795,1485,-0.001141518
1657748799,1486,-0.002383416
1657748902,1489,-0.002317425
1657748922,1491,-0.00116216
1657749073,1501,-0.001766274
1657749193,1508,-0.001633159
1657749425,1523,-0.001660118
1657749437,1524,-0.001452169
1657749533,1527,-0.001573261
1657749891,1551,-0.002339898
1657749943,1552,-0.002401015
1657749960,1554,-0.002490701
1657750055,1561,-0.001693706
1657750187,1568,-0.001883526
1657750206,1569,-0.000860526
1657750341,1578,-0.002422133
1657750427,1584,-0.001207882
1657750504,1588,-0.000914699
1657750686,1597,-0.001271479
1657750789,1604,-0.001463353
1657750794,1605,-0.00228785
1657750928,1610,-0.001885293
1657751085,1618,-0.001515843
1657751324,1627,-0.001294414
1657751336,1628,-0.001203686
1657751427,1632,-0.002493559
1657751539,1637,-0.001104666
1657751556,1640,-0.002451875
1657751638,1642,-0.001147162
1657751667,1645,-0.001390838
1657751764,1648,-0.001301776
1657751836,1652,-0.002490105
1657751951,1660,-0.002435131
1657752110,1668,-0.002019501
1657752169,1672,-0.00164612
1657752183,1675,-0.002184888
1657752346,1682,-0.002368787
1657752498,1691,-0.002412375
1657752566,1695,-0.001436818
1657752571,1696,-0.002317425
1657752638,1697,-0.001967216
1657752653,1699,-0.002456306
1657752709,1702,-0.001810291
1657752782,1709,-0.002331111
1657752995,1718,-0.001826956
1657753242,1728,-0.001875261
1657753317,1732,-0.00242586
1657753332,1734,-0.002217738
1657753437,1737,-0.001250813
1657753542,1742,-0.002453556
1657753580,1745,-0.002490701
1657753586,1746,-0.002016831
1657753645,1747,-0.001235924
1657753738,1752,-0.000882322
1657753960,1766,-0.002355807
1657754124,1775,-0.000752742
1657754191,1781,-0.002307623
1657754301,1788,-0.001943119
1657754308,1789,-0.001793827
1657754484,1798,-0.002427715
1657754623,1805,-0.002237829
1657754991,1817,-0.001426955
1657755133,1826,-0.002455154
1657755226,1830,-0.002318803
1657755347,1840,-0.00242586
1657755395,1844,-0.002314448
1657755444,1849,-0.002318803
1657755525,1853,-0.002493559
1657755762,1866,-0.002357232
1657755846,1869,-0.002406365
1657755917,1875,-0.001125401
1657755923,1876,-0.001977386
1657755969,1877,-0.001959567
1657756636,1911,-0.001361505
1657756792,1917,-0.002355194
1657756940,1924,-0.002075468
1657757065,1930,-0.001572555
1657757125,1934,-0.002070017
1657757149,1936,-0.001276552
1657757219,1938,-0.002490701
1657757358,1944,-0.001093662
1657757412,1947,-0.002307623
