Wall time,Step,Value
1657636529,1005,-0.002493559
1657636740,1014,-0.002490105
1657637430,1044,-0.002289205
1657637701,1057,-0.00228785
1657637855,1063,-0.001375022
1657637912,1066,-0.00242586
1657637939,1068,-0.002433642
1657638038,1072,-0.002490105
1657638132,1078,-0.002317425
1657638250,1083,-0.002487202
1657638457,1093,-0.001060779
1657638595,1099,-0.000871264
1657638689,1104,-0.001521227
1657638898,1114,-0.002051773
1657639851,1156,-0.002025277
1657639893,1160,-0.001895211
1657639938,1161,-0.002448316
1657639945,1162,-0.002355807
1657640285,1180,-0.00106208
1657640635,1193,-0.001231861
1657640959,1206,-0.001344762
1657641514,1232,-0.001917207
1657641757,1244,-0.001695615
1657641992,1255,-0.001301776
1657642058,1258,-0.002072366
1657642132,1261,-0.002317425
1657642592,1281,-0.001322498
1657642727,1287,-0.002041633
1657642874,1294,-0.001547602
1657643000,1300,-0.001742948
1657643347,1316,-0.001131534
1657643381,1319,-0.000870594
1657643629,1330,-0.001064804
1657643695,1333,-0.00242586
1657643765,1336,-0.001457799
1657643780,1337,-0.002336809
1657644820,1385,-0.001349542
1657644911,1388,-0.002109807
1657644991,1391,-0.001941994
1657645002,1392,-0.001705868
1657645446,1414,-0.000800142
1657645772,1426,-0.002467683
1657645989,1436,-0.001673399
1657646031,1440,-0.001422073
1657646592,1465,-0.001804609
1657646628,1466,-0.002490701
1657646832,1477,-0.002317425
1657646994,1485,-0.001362291
1657647084,1489,-0.002392306
1657647140,1491,-0.001631515
1657647871,1523,-0.002355822
1657647955,1527,-0.002409524
1657648528,1552,-0.001478157
1657648887,1568,-0.001509839
1657648901,1569,-0.001407625
1657649179,1584,-0.002491876
1657649263,1588,-0.00237436
1657649599,1604,-0.001422073
1657649610,1605,-0.002365157
1657650080,1627,-0.001963297
1657650206,1632,-0.002364358
1657650296,1637,-0.001290395
1657650351,1640,-0.001197948
1657650486,1645,-0.001647037
1657650545,1648,-0.00247068
1657650805,1660,-0.00119331
1657650982,1668,-0.001821007
1657651145,1675,-0.00136567
1657651357,1682,-0.000632075
1657651580,1691,-0.002490701
1657651636,1695,-0.002417813
1657651688,1697,-0.001810291
1657651715,1699,-0.002392306
1657651799,1702,-0.001463497
1657651921,1709,-0.002285033
1657652092,1718,-0.002039267
1657652339,1728,-0.000785469
1657652454,1732,-0.001248157
1657652493,1734,-0.00098406
1657652590,1737,-0.002061701
1657652711,1742,-0.001108341
1657652770,1745,-0.000994503
1657652823,1746,-0.001957933
1657653296,1766,-0.001446819
1657653464,1775,-0.001243324
1657653647,1781,-0.000961247
1657653775,1788,-0.001811338
1657653790,1789,-0.002299124
1657654002,1798,-0.001995447
1657654121,1805,-0.001647037
1657654605,1826,-0.001359819
1657654672,1830,-0.001951881
1657654873,1840,-0.002307623
1657654973,1844,-0.001881271
1657655205,1853,-0.000600975
1657655480,1866,-0.001572555
1657655520,1869,-0.001788042
1657655652,1875,-0.001446819
1657655714,1877,-0.002346368
1657656444,1911,-0.002490701
1657656581,1917,-0.001874176
1657656934,1934,-0.002417813
1657657166,1944,-0.00235846
1657657226,1947,-0.001874176
1657657249,1949,-0.001693706
1657657672,1967,-0.002441136
1657658001,1981,-0.000948113
1657658019,1983,-0.002493559
1657658425,2001,-0.000723006
1657658491,2005,-0.001357058
1657658682,2013,-0.001694685
1657659006,2030,-0.00195075
1657659154,2036,-0.002228196
1657659645,2060,-0.00133525
1657659944,2073,-0.001659108
1657660052,2076,-0.000807925
1657660066,2077,-0.002004568
1657660109,2079,-0.000806356
1657660164,2081,-0.001742948
1657660237,2085,-0.00202416
1657660315,2089,-0.00164057
1657660486,2096,-0.002420681
1657660755,2111,-0.002483109
1657661504,2145,-0.001084672
1657661599,2149,-0.002490701
1657661793,2156,-0.002014917
1657661959,2165,-0.0011052
1657662255,2177,-0.002365316
1657662501,2187,-0.001187177
1657662529,2189,-0.001628723
1657662593,2191,-0.002013747
1657662673,2196,-0.001449455
1657662703,2199,-0.002361419
1657662884,2207,-0.00232986
1657662978,2211,-0.000751231
1657663411,2231,-0.001941994
1657663518,2236,-0.00193442
1657663526,2237,-0.00248878
1657663544,2239,-0.002490701
1657663620,2242,-0.002078309
1657663717,2246,-0.001986386
1657663742,2247,-0.000749949
1657663881,2254,-0.001247057
1657663962,2257,-0.002490701
1657664115,2262,-0.001031785
1657664527,2281,-0.001620475
1657664735,2291,-0.002120545
1657664816,2297,-0.002409524
1657664931,2303,-0.002414374
1657665008,2307,-0.002467683
1657665275,2319,-0.001255675
1657665291,2320,-0.001426955
1657665846,2345,-0.001458162
1657666020,2354,-0.001422073
1657666741,2389,-0.002458113
1657666750,2390,-0.002493559
1657666819,2392,-0.001286834
1657667885,2436,-0.001008527
1657668009,2444,-0.001269935
1657668223,2451,-0.002004568
1657668238,2453,-0.002493559
1657668252,2455,-0.002493559
1657668325,2460,-0.001119242
1657668842,2485,-0.001566643
1657668893,2486,-0.001366797
1657669103,2496,-0.001846441
1657669134,2498,-0.000815862
1657669252,2503,-0.001799968
1657669568,2517,-0.001466554
1657669687,2523,-0.002296328
1657669888,2532,-0.002493559
1657670260,2547,-0.002417813
1657670355,2551,-0.001473295
1657670373,2553,-0.002297867
1657670821,2578,-0.002491876
1657671054,2590,-0.001345558
1657671303,2600,-0.000572791
1657671494,2606,-0.00077233
1657671841,2623,-0.002019944
1657671970,2629,-0.001962338
