Wall time,Step,Value
1657654522,2036,-0.002490701
1657654915,2060,-0.001889606
1657655190,2073,-0.001921765
1657655225,2076,-0.00242586
1657655301,2077,-0.00134113
1657655316,2079,-0.002317425
1657655336,2081,-0.001063192
1657655451,2085,-0.00174973
1657655501,2089,-0.002041633
1657655645,2096,-0.001402873
1657655840,2111,-0.002451875
1657656406,2145,-0.002493559
1657656458,2149,-0.002217738
1657656563,2156,-0.002075883
1657656721,2165,-0.002479723
1657656888,2177,-0.002004568
1657657039,2187,-0.001970745
1657657053,2189,-0.00242586
1657657075,2191,-0.002320112
1657657152,2196,-0.001307396
1657657232,2199,-0.001221386
1657657389,2207,-0.002211508
1657657410,2211,-0.002203503
1657657774,2231,-0.00138066
1657657855,2236,-0.001693446
1657657892,2237,-0.001473284
1657657906,2239,-0.002217738
1657657969,2242,-0.001848922
1657658022,2246,-0.00184942
1657658067,2247,-0.002441136
1657658155,2254,-0.002297762
1657658249,2257,-0.001983095
1657658379,2262,-0.002490701
1657658686,2281,-0.00205041
1657658932,2291,-0.001809593
1657659158,2297,-0.000838447
1657659260,2303,-0.001003971
1657659353,2307,-0.002327157
1657659557,2319,-0.00109634
1657659569,2320,-0.001312685
1657660051,2345,-0.001234157
1657660222,2354,-0.00242586
1657661037,2389,-0.001183795
1657661056,2390,-0.000896454
1657661100,2392,-0.002490701
1657661794,2436,-0.002299124
1657661919,2444,-0.001634112
1657662011,2451,-0.002428746
1657662071,2453,-0.001107395
1657662081,2455,-0.002360735
1657662182,2460,-0.002401015
1657662627,2485,-0.001755874
1657662635,2486,-0.001712734
1657662789,2496,-0.002307623
1657662844,2498,-0.001311689
1657662927,2503,-0.001904806
1657663212,2517,-0.002493559
1657663396,2523,-0.001938975
1657663636,2532,-0.001477793
1657663956,2547,-0.000489133
1657663981,2551,-0.001339556
1657664020,2553,-0.001899143
1657664463,2578,-0.001884656
1657664669,2590,-0.002417813
1657664841,2600,-0.002410986
1657664914,2606,-0.002370273
1657665277,2623,-0.00077666
1657665385,2629,-0.001327638
1657665399,2630,-0.00110445
1657665734,2644,-0.002317425
1657665823,2650,-0.001661077
1657665927,2655,-0.001096167
1657666565,2678,-0.000604275
1657666753,2685,-0.002493559
1657666840,2690,-0.00242734
1657667209,2703,-0.001208965
1657667330,2710,-0.001162521
1657667538,2725,-0.001814564
1657667822,2737,-0.002353797
1657667844,2740,-0.001499827
1657668035,2754,-0.001105443
1657668832,2789,-0.002100089
1657668837,2790,-0.002455154
1657668843,2791,-0.00205104
1657669202,2809,-0.002456671
1657669512,2824,-0.002442635
1657670349,2872,-0.001089715
1657670465,2881,-0.002091951
1657670617,2890,-0.001567548
1657670700,2896,-0.002289205
1657671070,2917,-0.001085383
1657671091,2919,-0.001105424
1657671095,2920,-0.00242586
1657671903,2967,-0.001494023
1657672017,2975,-0.001943072
1657672480,2998,-0.001301776
1657672638,3007,-0.001717707
1657672690,3011,-0.001349029
1657672787,3015,-0.002491876
1657673042,3027,-0.00090924
1657673060,3030,-0.002493559
1657673259,3038,-0.00242586
1657673278,3041,-0.00203228
1657673723,3065,-0.000880134
1657673857,3069,-0.001462081
1657673873,3071,-0.001764351
1657674611,3099,-0.001928012
1657675321,3122,-0.001357897
1657675591,3137,-0.002044959
1657675685,3145,-0.002038486
1657675791,3150,-0.001400154
1657675863,3155,-0.001875261
1657675938,3161,-0.002030309
1657676251,3177,-0.002317425
1657676639,3195,-0.002490105
1657676643,3196,-0.002435131
1657676790,3203,-0.002307623
1657676822,3206,-0.002441136
1657677252,3230,-0.002493559
1657677349,3233,-0.002276761
1657677435,3240,-0.00242586
1657677492,3243,-0.002433642
1657677498,3244,-0.002297762
1657677518,3246,-0.002300302
1657677611,3247,-0.001371249
1657678067,3272,-0.002375788
1657678171,3281,-0.00242586
1657678587,3305,-0.001361505
1657678870,3313,-0.002040231
1657679108,3327,-0.001068157
1657679113,3328,-0.002417813
1657679383,3345,-0.000904735
1657679921,3374,-0.000827238
1657679937,3376,-0.002392306
1657680131,3386,-0.001456958
1657680520,3403,-0.002491876
1657680597,3408,-0.002297762
1657680952,3430,-0.00069717
1657681139,3438,-0.00205907
1657681348,3449,-0.002451875
1657681362,3451,-0.001515071
1657681544,3458,-0.001437412
1657681670,3464,-0.001959567
1657681752,3471,-0.002098866
1657681991,3477,-0.00235762
1657682012,3480,-0.001823724
1657682433,3497,-0.001712345
1657682742,3509,-0.000562573
1657682834,3512,-0.002366576
1657682996,3519,-0.000982895
1657683327,3535,-0.00082552
1657683376,3537,-0.002493559
1657683448,3543,-0.002463147
1657683519,3547,-0.002493559
1657683754,3563,-0.001312691
