,Step,Value
0,5,-0.0023089933674782515
1,18,-0.0023052761820144953
2,24,-0.00229611952600535
3,40,-0.0022963949290991294
4,42,-0.0022884205980201228
5,45,-0.002279054789503407
6,53,-0.0022716798910038093
7,56,-0.0022565983952846803
8,71,-0.0022416705242065352
9,74,-0.002242413566907752
10,94,-0.002243453109319263
11,102,-0.002240438514223646
12,105,-0.0022409261753355376
13,106,-0.002234987278808451
14,113,-0.0022336260640909308
15,126,-0.002236196812660459
16,139,-0.002232730906926596
17,150,-0.002224587987586383
18,155,-0.002219540038430223
19,158,-0.002222280227217867
20,167,-0.002210962072588435
21,168,-0.0022031711476200888
22,178,-0.002202056612878544
23,183,-0.0021996317163322445
24,185,-0.0022020309888856546
25,186,-0.002203568897960242
26,190,-0.0022057113372045056
27,198,-0.002193988382847207
28,206,-0.002196226627242601
29,207,-0.002183358298667064
30,212,-0.0021796380945814276
31,223,-0.0021666773210767556
32,229,-0.002162595829614313
33,234,-0.0021651479995420356
34,249,-0.002153551568170669
35,255,-0.0021507686609372294
36,260,-0.0021520534133043236
37,267,-0.0021554398883817183
38,271,-0.002152452569176079
39,273,-0.0021413883315153453
40,292,-0.0021259920737649015
41,297,-0.0021158654799432767
42,298,-0.002108457043930143
43,303,-0.0020952870128009915
44,308,-0.0020979724274381656
45,310,-0.002092027023695197
46,318,-0.0020891766524007305
47,319,-0.0020784382716872774
48,330,-0.0020783332012628913
49,339,-0.0020824568784607
50,347,-0.002081139805129674
51,363,-0.0020761150918950804
52,367,-0.002068076818994524
53,377,-0.002061377587999501
54,421,-0.002054840058999501
55,422,-0.002050332513962507
56,430,-0.0020480701856921625
57,439,-0.0020397675265059526
58,441,-0.002039381614794959
59,442,-0.00203654165873582
60,445,-0.002030404958175453
61,451,-0.002026806429277598
62,460,-0.002024762506079656
63,463,-0.0020294504701908055
64,464,-0.0020287352973451184
65,474,-0.0020286777957330315
66,491,-0.0020333097826053365
67,493,-0.0020210803995694784
68,512,-0.0020243332736543723
69,514,-0.0020197563721995443
70,517,-0.0020188918031844778
71,525,-0.0020087188810928264
72,531,-0.002011917126863237
73,533,-0.0020068303389750627
74,536,-0.0020050691342384797
75,542,-0.001999639248055306
