,Step,Value
0,688,-0.0023271570000000003
1,714,-0.00232705968
2,718,-0.0023270821731999998
3,722,-0.002321313371468
4,723,-0.0023138453877533196
5,730,-0.0023130762538757866
6,739,-0.002313119741337029
7,743,-0.0023148612439236587
8,747,-0.002298746541484422
9,752,-0.002299141106069578
10,756,-0.0022912028750088818
11,765,-0.002286869246258793
12,769,-0.0022819968637962052
13,770,-0.002279781915158243
14,771,-0.0022777077560066604
15,773,-0.002279204078446594
16,774,-0.0022770170576621278
17,780,-0.0022623261370855064
18,785,-0.0022628771257146513
19,787,-0.002265155364457505
20,792,-0.0022530437408129302
21,793,-0.002236722213404801
22,794,-0.002236632821270753
23,798,-0.002223210833058045
24,802,-0.0022254912947274642
25,807,-0.0022097390217801893
26,808,-0.002204588701562387
27,809,-0.0021998388745467635
28,832,-0.002196710305801296
29,836,-0.002182225612743283
30,843,-0.00217351078661585
31,869,-0.002160504948749692
32,874,-0.002163806909262195
33,876,-0.002153577430169573
34,882,-0.002156554225867877
35,890,-0.002154913843609198
36,896,-0.0021472266251731063
37,900,-0.0021450010289213754
38,907,-0.0021327032986321617
39,909,-0.0021272191456458396
40,915,-0.002124162494189381
41,917,-0.002123513269247487
42,931,-0.0021117316965550124
43,932,-0.002113591999589462
44,942,-0.0021173463695935675
45,945,-0.0021103936358976318
46,954,-0.0021037341495386557
47,958,-0.0021022924780432694
48,961,-0.002102161563262837
49,962,-0.002091237697630209
50,971,-0.0020825391806539068
51,972,-0.002086614838847368
52,978,-0.002080061890458894
53,979,-0.002073281481554305
54,984,-0.002066320866738762
55,996,-0.002057010728071374
56,1002,-0.0020613762107906603
57,1005,-0.0020618722086827536
58,1014,-0.002050607696595926
59,1017,-0.002037266809629967
60,1025,-0.0020380846915336675
61,1037,-0.0020358844946183306
62,1044,-0.0020404326596721476
63,1057,-0.002039732953075426
64,1063,-0.0020273825935446716
65,1066,-0.002029987267609225
66,1068,-0.0020191814749331333
67,1072,-0.002013737040183802
68,1076,-0.002012518209781964
69,1078,-0.0020160555476841442
70,1083,-0.002019597722207303
71,1084,-0.00202060719498523
72,1093,-0.002025308133035378
73,1099,-0.002017861841705024
74,1103,-0.0020084416032879735
75,1104,-0.002011128687255094
76,1114,-0.002015694230382543
77,1119,-0.0020188382180787176
78,1133,-0.002013219415897931
79,1155,-0.002013028681738952
80,1156,-0.0020178339849215624
81,1160,-0.002007479795072347
82,1161,-0.0020005581271216235
83,1162,-0.0019914235758504073
84,1180,-0.001985169150091903
85,1192,-0.001971679268590984
86,1193,-0.0019626075059050742
87,1199,-0.0019678884408460234
88,1201,-0.001964054656437563
89,1206,-0.0019673917298731873
90,1232,-0.001972653402574455
91,1234,-0.0019622798785487107
92,1244,-0.0019573643897632235
93,1255,-0.0019463004458655914
94,1258,-0.0019478413314069356
95,1261,-0.0019513405380928662
96,1281,-0.0019383498827119374
97,1287,-0.0019420426138848181
98,1294,-0.00194179425774597
99,1300,-0.0019467127351685102
100,1310,-0.0019396048478168251
101,1316,-0.0019310861093386569
102,1319,-0.0019361265582452704
103,1327,-0.0019350242826628177
104,1330,-0.0019405460598361894
105,1333,-0.0019274668592378274
106,1336,-0.0019202938606454492
107,1337,-0.0019198629720389947
108,1355,-0.0019188538423186047
109,1370,-0.0019161451838954186
110,1385,-0.0019080087120564645
111,1388,-0.0019100144049358997
112,1389,-0.0019141858308865407
113,1391,-0.0019153785925776752
114,1392,-0.0019207763466518985
115,1414,-0.0019177066431853794
116,1419,-0.0019058130167535258
117,1422,-0.0019057908865859905
118,1426,-0.0019068704477201305
119,1428,-0.001900454183242929
120,1432,-0.0019056277714104997
121,1436,-0.0019053132536963947
122,1440,-0.0019093363511594307
123,1465,-0.0019145794076478365
124,1466,-0.0019099523235713582
125,1477,-0.0019019267503356447
126,1485,-0.0018943226628322883
127,1486,-0.0018992135962039654
128,1489,-0.0019033957102419258
129,1491,-0.0018959833531395065
130,1501,-0.0018946862596081115
131,1508,-0.0018920709870120305
132,1523,-0.00188975145714191
133,1524,-0.0018853756325704911
134,1527,-0.0018822544862447863
135,1551,-0.0018868309213823384
136,1552,-0.001891972762168515
137,1554,-0.0018979600445468297
138,1561,-0.0018959175041013616
139,1568,-0.001895793589060348
140,1569,-0.0018854409131697446
141,1578,-0.0018908078340380472
142,1584,-0.0018839785756976667
143,1588,-0.00187428577994069
144,1597,-0.001868257712141283
145,1604,-0.0018642086650198701
146,1605,-0.0018684450783696715
147,1610,-0.0018686135575859747
148,1618,-0.0018650858520101149
149,1627,-0.0018593791334900137
150,1628,-0.0018528222021551137
151,1632,-0.0018592295701335625
152,1637,-0.001851683934432227
153,1640,-0.0018576858450879048
154,1642,-0.0018505806066370257
155,1645,-0.0018459831805706553
156,1648,-0.0018405411087649487
157,1652,-0.001847036747677299
158,1660,-0.001852917690200526
159,1668,-0.0018545835232985208
160,1672,-0.0018524988880655356
161,1675,-0.0018558227791848803
162,1682,-0.0018609524213930315
163,1691,-0.0018664666471791013
164,1695,-0.0018621701607073103
165,1696,-0.0018667227091002372
166,1697,-0.0018677276420092349
167,1699,-0.0018736134255891426
168,1702,-0.001872980201333251
169,1709,-0.0018775615093199185
170,1718,-0.0018770554542267193
171,1728,-0.0018770375096844522
172,1732,-0.0018825257345876077
173,1734,-0.0018858778572417316
174,1737,-0.0018795272086693142
175,1742,-0.001885267496582621
176,1745,-0.0018913218316167948
177,1746,-0.0018925769233006267
178,1747,-0.0018860103940676206
179,1752,-0.0018759735101269443
180,1766,-0.001880771845025675
181,1775,-0.0018694915465754182
182,1781,-0.001873872861109664
183,1788,-0.0018745653224985673
184,1789,-0.0018737579392735816
185,1798,-0.001879297509880846
186,1805,-0.0018828828247820376
187,1817,-0.0018783235465342173
188,1826,-0.0018840918510688752
189,1830,-0.0018884389625581865
190,1840,-0.0018938131729326047
191,1844,-0.0018980195212032786
192,1849,-0.0019022273559912459
193,1853,-0.0019081406724313335
194,1866,-0.0019126315857070201
195,1869,-0.0019175689198499498
196,1875,-0.0019096472406514504
197,1876,-0.001910324628244936
198,1877,-0.0019108170519624866
199,1911,-0.0019053239314428619
200,1917,-0.0019098226321284332
201,1924,-0.001911479085807149
202,1930,-0.0019080898449490775
203,1934,-0.0019097091164995866
204,1936,-0.0019033775453345906
205,1938,-0.0019092507798812446
206,1944,-0.001901094892082432
207,1947,-0.0019051601731616078
208,1949,-0.0018945267814299918
209,1952,-0.0018936948936156919
210,1967,-0.001895458114679535
211,1969,-0.0018901633435327396
212,1981,-0.0018797918000974122
213,1982,-0.0018793206520964381
214,1983,-0.0018780438055754738
215,1997,-0.001874871117519719
216,2001,-0.0018792966563445218
217,2005,-0.0018712470497810765
218,2009,-0.0018628647692832657
219,2013,-0.001861499431590433
220,2017,-0.0018527307272745287
221,2025,-0.0018457387700017832
222,2027,-0.0018472474423017653
223,2030,-0.0018409749278787476
224,2033,-0.00184326534859996
225,2036,-0.0018445529151139605
226,2041,-0.001849324005962821
227,2060,-0.0018417980459031927
228,2072,-0.0018461590354441608
229,2073,-0.0018446345050897193
230,2076,-0.0018381971600388222
231,2077,-0.001838972788438434
232,2079,-0.0018401018705540497
233,2081,-0.0018413853118485091
234,2085,-0.001846145708730024
235,2089,-0.0018394151116427238
236,2094,-0.0018353804105262965
237,2096,-0.0018406339564210337
238,2111,-0.0018421639268568232
239,2115,-0.001848649297588255
240,2122,-0.0018492829946123723
241,2123,-0.0018526573446662486
242,2141,-0.001852801341219586
243,2144,-0.0018574475778073902
244,2145,-0.0018569690320293162
245,2149,-0.0018559744617090233
246,2151,-0.001858403377091933
247,2156,-0.0018607935433210137
248,2165,-0.0018573389778878035
249,2169,-0.0018589030581089255
250,2171,-0.0018638722475278363
251,2173,-0.0018681120250525578
252,2177,-0.0018684095948020322
253,2187,-0.001867761678854012
254,2189,-0.001867343052065472
255,2191,-0.0018587736015448172
256,2192,-0.001853118515529369
257,2196,-0.0018492719603740752
258,2199,-0.0018452979507703345
259,2207,-0.0018394306212626312
260,2211,-0.0018454476750500049
261,2225,-0.001845953278299505
262,2229,-0.00185018624551651
263,2231,-0.0018565154730613449
264,2236,-0.0018611245683307315
265,2237,-0.0018674203326474242
266,2239,-0.00187292425932095
267,2242,-0.0018785463267277404
268,2244,-0.001878230913460463
269,2246,-0.0018721454443258584
270,2247,-0.0018776825898825999
271,2254,-0.001876453123983774
272,2257,-0.0018770215827439362
273,2262,-0.0018642411269164968
274,2281,-0.0018696939556473318
275,2291,-0.0018596922760908585
276,2297,-0.00186603094332995
277,2303,-0.0018613993638966506
278,2307,-0.0018677209602576841
279,2308,-0.0018739793406551074
280,2319,-0.0018655756172485565
281,2320,-0.001870563171076071
282,2322,-0.0018656188993653104
283,2335,-0.0018578909503716573
284,2345,-0.0018640966908679405
285,2354,-0.0018641974839592613
286,2371,-0.0018685331291196689
287,2389,-0.0018729240278284722
288,2390,-0.0018791303775501874
289,2392,-0.0018741454637746856
290,2400,-0.0018633493291369389
291,2402,-0.0018635856558455695
292,2406,-0.0018686029592871137
293,2416,-0.0018748179796942426
294,2424,-0.0018745220298973001
295,2425,-0.001876509559598327
296,2436,-0.001880122754002344
297,2444,-0.0018758036664623205
298,2450,-0.0018661774597976974
299,2451,-0.0018718521051997205
300,2453,-0.0018780523441477234
