,Step,Value
0,1005,-0.002493559
1,1014,-0.00249352446
2,1044,-0.0024914812653999995
3,1057,-0.0024894449527459997
4,1063,-0.0024783007232185394
5,1066,-0.002477776315986354
6,1068,-0.0024773349728264902
7,1072,-0.0024774626730982253
8,1078,-0.002475862296367243
9,1083,-0.0024759756934035703
10,1093,-0.0024618237264695344
11,1099,-0.002445918129204839
12,1104,-0.0024366712179127907
13,1114,-0.002432822235733663
14,1156,-0.0024287467833763263
15,1160,-0.002423411425542563
16,1161,-0.002423660471287137
17,1162,-0.002422981936574266
18,1180,-0.0024093729172085234
19,1193,-0.002397597798036438
20,1206,-0.0023870694400560735
21,1232,-0.002382370815655513
22,1244,-0.002375503257498958
23,1255,-0.0023647659849239688
24,1258,-0.002361841985074729
25,1261,-0.0023613978152239815
26,1281,-0.0023510088170717418
27,1287,-0.0023479150589010246
28,1294,-0.002339911928312014
29,1300,-0.002333942289028894
30,1316,-0.002321918206138605
31,1319,-0.002307404964077219
32,1330,-0.002294978954436447
33,1333,-0.0022962877648920826
34,1336,-0.0022879028772431614
35,1337,-0.00228839193847073
36,1385,-0.0022790034390860227
37,1388,-0.0022773114746951623
38,1391,-0.0022739582999482103
39,1392,-0.002268277396948728
40,1414,-0.002253596042979241
41,1426,-0.0022557369125494487
42,1436,-0.0022499135334239544
43,1440,-0.0022416351280897147
44,1465,-0.0022372648668088175
45,1466,-0.0022397992281407296
46,1477,-0.0022405754858593223
47,1485,-0.002231792641000729
48,1489,-0.0022333977745907217
49,1491,-0.0022273789468448147
50,1523,-0.0022286633773763664
51,1527,-0.0022304719836026025
52,1552,-0.0022229488337665764
53,1568,-0.0022158177354289106
54,1569,-0.0022077358080746213
55,1584,-0.002210577209993875
56,1588,-0.0022122150378939363
57,1604,-0.002204313617514997
58,1605,-0.002205922051339847
59,1627,-0.0022034958008264483
60,1632,-0.002205104422818184
61,1637,-0.002195957328590002
62,1640,-0.002185977235304102
63,1645,-0.0021805878329510613
64,1648,-0.002183488754621551
65,1660,-0.0021735869670753355
66,1668,-0.002170061167404582
67,1675,-0.002162017255730536
68,1682,-0.0021467178331732307
69,1691,-0.0021501576648414985
70,1695,-0.0021528342181930836
71,1697,-0.0021494087860111527
72,1699,-0.0021518377581510413
73,1702,-0.0021449543505695306
74,1709,-0.002146355137063835
75,1718,-0.002145284255693197
76,1728,-0.002131686103136265
77,1732,-0.0021228508121049023
78,1734,-0.002111462903983853
79,1737,-0.002110965284944015
80,1742,-0.0021009390420945744
81,1745,-0.0020898746816736284
82,1746,-0.0020885552648568922
83,1766,-0.0020821379022083236
84,1775,-0.0020737497631862405
85,1781,-0.0020626247355543777
86,1788,-0.002060111868198834
87,1789,-0.0020625019895168456
88,1798,-0.002061831439621677
89,1805,-0.00205768349522546
90,1826,-0.0020507048502732056
91,1830,-0.0020497166117704733
92,1840,-0.0020522956756527685
93,1844,-0.002050585428896241
94,1853,-0.0020360893246072786
95,1866,-0.0020314539813612057
96,1869,-0.0020290198615475936
97,1875,-0.0020231978529321177
98,1877,-0.0020264295544027964
99,1911,-0.0020310722688587687
100,1917,-0.002029503306170181
101,1934,-0.002033386403108479
102,1944,-0.002036637139077394
103,1947,-0.00203501252768662
104,1949,-0.002031599462409754
105,1967,-0.0020356948277856566
106,1981,-0.0020248190095078
107,1983,-0.002029506409412722
108,2001,-0.002016441405318595
109,2005,-0.002009847571265409
110,2013,-0.0020066959455527548
111,2030,-0.002006136486097227
112,2036,-0.002008357081236255
113,2060,-0.0020016260104238925
114,2073,-0.0019982008303196536
115,2076,-0.001986298072016457
116,2077,-0.0019864807712962926
117,2079,-0.0019746795235833295
118,2081,-0.001972362208347496
119,2085,-0.001972880186264021
120,2089,-0.0019695570844013807
121,2096,-0.001974068323557367
122,2111,-0.001979158730321793
123,2145,-0.0019702138630185747
124,2149,-0.001975418734388389
125,2156,-0.0019758137170445052
126,2165,-0.0019671075798740603
127,2177,-0.00197108966407532
128,2187,-0.0019632505374345666
129,2189,-0.001959905262060221
130,2191,-0.001960443679439619
131,2196,-0.0019553337926452225
132,2199,-0.0019593946447187703
133,2207,-0.0019630992982715826
134,2211,-0.0019509806152888667
135,2231,-0.0019508907491359781
136,2236,-0.0019507260416446184
137,2237,-0.0019561065812281724
138,2239,-0.0019614525254158907
139,2242,-0.0019626210901617317
140,2246,-0.0019628587392601145
141,2247,-0.0019507296418675134
142,2254,-0.0019436929154488382
143,2257,-0.0019491629962943497
144,2262,-0.0019399892163314062
145,2281,-0.001936794074168092
146,2291,-0.001938631583426411
147,2297,-0.001943340507592147
148,2303,-0.0019480508425162254
149,2307,-0.001953247164091063
150,2319,-0.0019462714424501525
151,2320,-0.001941078278025651
152,2345,-0.0019362491152453945
153,2354,-0.0019311073540929406
154,2389,-0.0019363774105520112
155,2390,-0.0019419492264464912
156,2392,-0.0019353980741820263
157,2436,-0.0019261293634402058
158,2444,-0.001919567419805804
159,2451,-0.0019204174256077459
160,2453,-0.0019261488413516684
161,2455,-0.0019318229429381517
162,2460,-0.0019236971335087703
163,2485,-0.0019201265921736826
164,2486,-0.0019145932962519457
165,2496,-0.0019139117732894263
166,2498,-0.001902931275556532
167,2503,-0.0019019016428009666
168,2517,-0.001897548166372957
169,2523,-0.0019015359647092274
170,2532,-0.0019074561950621351
171,2547,-0.0019125597631115137
172,2551,-0.0019081671154803986
173,2553,-0.0019120641143255946
174,2578,-0.0019178622331823387
175,2590,-0.0019121391908505153
176,2600,-0.00189874570894201
177,2606,-0.0018874815518525898
