,Step,Value
0,1316,-0.002338203
1,1319,-0.0023231233
2,1330,-0.002318167767
3,1333,-0.0023199216793299998
4,1336,-0.0023137380825366998
5,1337,-0.0023077907117113328
6,1385,-0.0023096315645942194
7,1388,-0.002304748768948277
8,1391,-0.002293139501258794
9,1392,-0.002288388756246206
10,1414,-0.002289763468683744
11,1426,-0.0022813709339969067
12,1436,-0.0022834759846569377
13,1440,-0.0022817055748103683
14,1465,-0.0022687759890622646
15,1466,-0.002255783289171642
16,1477,-0.0022476542062799254
17,1485,-0.0022500787142171264
18,1489,-0.0022456808370749553
19,1491,-0.002241539038704206
20,1523,-0.0022384116883171637
21,1527,-0.002233506331433992
22,1552,-0.002229822038119652
23,1568,-0.0022185746977384556
24,1569,-0.002220582610761071
25,1584,-0.0022167709246534604
26,1588,-0.002218016795406926
27,1604,-0.0022207595174528567
28,1605,-0.0022082829122783277
29,1627,-0.0022004726331555447
30,1632,-0.002201445526823989
31,1637,-0.002194083201555749
32,1640,-0.0021866737395401918
33,1645,-0.00218223648214479
34,1648,-0.002172951107323342
35,1660,-0.0021753997262501084
36,1668,-0.0021719361189876073
37,1675,-0.0021751355177977313
38,1682,-0.002166345862619754
39,1691,-0.002168333973993556
40,1695,-0.0021603104442536204
41,1697,-0.0021635793598110842
42,1699,-0.0021668052162129737
43,1702,-0.002154490174050844
44,1709,-0.0021490842823103356
45,1718,-0.0021507945594872323
46,1728,-0.00214842309389236
47,1732,-0.002150402542953436
48,1734,-0.002141559157523902
49,1737,-0.0021331613259486628
50,1742,-0.0021307482526891765
51,1745,-0.002129304630162285
52,1746,-0.002116136643860662
53,1766,-0.0021173198474220556
54,1775,-0.002121082238947835
55,1781,-0.0021247025065583565
56,1788,-0.002128362491492773
57,1789,-0.0021140557365778453
58,1798,-0.002109235079212067
59,1805,-0.0020973921184199466
60,1826,-0.0020959098472357472
61,1830,-0.00209831561876339
62,1840,-0.002102255352575756
63,1844,-0.002095265319049998
64,1853,-0.0020870201258594984
65,1866,-0.0020910569346009036
66,1869,-0.0020934317952548947
67,1875,-0.0020965611273023456
68,1877,-0.002100514276029322
69,1911,-0.002104340223269029
70,1917,-0.0021038072210363386
71,1934,-0.0021031540088259754
72,1944,-0.002104901438737716
73,1947,-0.0021081110243503388
74,1949,-0.002108042584106835
75,1967,-0.0021114977182657667
76,1981,-0.0021070967110831088
77,1983,-0.0021095839639722774
78,2001,-0.0021015058843325547
79,2005,-0.002092850065489229
80,2013,-0.0020914604848343366
81,2030,-0.0020951620799859933
82,2036,-0.0020991174691861337
