Wall time,Step,Value
1657620169.6992815,5,-2.8594164848327637
1657620367.7582266,18,-1.361963152885437
1657620469.0197268,24,-2.522336721420288
1657620673.6779625,40,-2.6930091381073
1657620725.7198489,42,-2.273092269897461
1657620745.9486027,45,-1.3125
1657620882.3887074,53,-1.5
1657620906.8751843,56,-1.1333333253860474
1657621174.2373085,71,-2.1222708225250244
1657621235.5426564,74,-3.0672450065612793
1657621559.4069333,94,-2.1465516090393066
1657621736.4322164,102,-3.4281914234161377
1657621771.0503685,106,-1.1523178815841675
1657622225.4757748,126,-3.3445122241973877
1657622567.5064514,139,-3.372262716293335
1657622968.1421127,155,-1.4853801727294922
1657623055.7454493,158,-1.1333333253860474
1657623230.2069445,167,-2.8283379077911377
1657623410.2390258,178,-1.5428571701049805
1657623516.6436703,183,-1.7948718070983887
1657623532.7993872,185,-1.528735637664795
1657623539.619731,186,-2.018433094024658
1657623663.7253687,190,-2.6520376205444336
1657624023.60607,207,-2.485915422439575
1657624334.056774,223,-1.7948718070983887
1657624446.2848194,229,-2.7164180278778076
1657624553.2169545,234,-2.990610361099243
1657624876.3939898,249,-2.0542986392974854
1657625028.4584043,255,-1.9716981649398804
1657625136.7321837,260,-1.3456790447235107
1657625292.081656,267,-1.361963152885437
1657625326.131554,271,-1.470588207244873
1657625389.0735486,273,-1.3456790447235107
1657625800.9140658,292,-1.5706214904785156
1657626064.392628,308,-2.547297239303589
1657626080.2869334,310,-1.1333333253860474
1657626275.4751716,318,-1.470588207244873
1657626523.1979985,330,-2.785310745239258
1657626669.870704,339,-1.361963152885437
1657626830.9138672,347,-1.8712871074676514
1657627125.9872315,363,-1.4853801727294922
1657627221.4843287,367,-1.470588207244873
1657628380.1119835,421,-1.3939393758773804
1657628448.182127,422,-1.1710525751113892
1657628770.0247753,439,-1.1333333253860474
1657628850.4856195,442,-1.8817733526229858
1657628865.2604222,445,-1.2784810066223145
1657629201.805689,460,-1.1523178815841675
1657629362.739826,463,-1.9620853662490845
1657629371.034098,464,-2.326848268508911
1657629631.6276107,474,-1.4853801727294922
1657629893.0344508,491,-1.1333333253860474
1657629985.480669,493,-2.3003952503204346
1657630363.5335953,514,-2.162393093109131
1657630415.5093896,517,-1.9620853662490845
1657630632.4427373,531,-1.9812206029891968
1657630725.8569355,536,-1.5568181276321411
1657631005.6483088,547,-3.2611684799194336
1657631177.4308295,557,-1.8712871074676514
1657631278.2242177,563,-2.9537713527679443
1657631456.0685606,573,-3.035874366760254
1657631546.5095603,579,-3.2456140518188477
1657631562.6720462,581,-1.9906542301177979
1657631632.1362715,586,-1.700534701347351
1657631660.059081,587,-1.8061224222183228
1657631857.7524004,602,-1.9126213788986206
1657632091.9400876,620,-2.6809816360473633
1657632159.366335,622,-1.3456790447235107
1657632392.0023434,634,-3.1992552280426025
1657632527.8472686,641,-2.6261980533599854
1657632552.115302,642,-1.5428571701049805
1657632560.517468,644,-1.4556212425231934
1657632609.6443543,647,-2.612903118133545
1657632622.4207509,649,-2.13043475151062
1657632807.568455,661,-1.1523178815841675
1657633017.2977564,671,-1.1523178815841675
1657633256.7314734,683,-2.1465516090393066
1657633351.0531986,688,-1.3291925191879272
1657633781.8367064,714,-1.5144509077072144
1657633838.657525,718,-1.8712871074676514
1657633901.7867568,722,-1.8712871074676514
1657633905.5301178,723,-1.1523178815841675
1657633978.3257456,730,-2.018433094024658
1657634158.1495254,739,-2.436363697052002
1657634237.651134,743,-2.6604361534118652
1657634380.6799781,747,-2.532423257827759
1657634471.6164894,752,-1.5428571701049805
1657634500.5907414,756,-1.8921568393707275
1657634653.0782661,765,-3.1242363452911377
1657634765.8318114,769,-2.501742124557495
1657634769.6347997,770,-1.1333333253860474
1657634774.1991189,771,-1.4853801727294922
1657634855.3483417,773,-1.5428571701049805
1657634963.4760349,780,-2.2231404781341553
1657635076.743432,785,-1.1710525751113892
1657635160.5968046,787,-1.225806474685669
1657635250.5063071,792,-1.6111111640930176
1657635271.6995275,794,-1.528735637664795
1657635354.6954641,798,-3.2167577743530273
1657635424.869795,802,-2.13043475151062
1657635516.4009619,808,-1.9227052927017212
1657635520.919823,809,-1.3780487775802612
1657635879.487527,832,-2.818681240081787
1657635898.487387,836,-1.1710525751113892
1657636489.807903,869,-1.8712871074676514
1657636566.7810328,874,-1.361963152885437
1657636582.1082046,876,-2.0542986392974854
1657636693.8840082,882,-3.0023202896118164
1657636883.9269543,896,-1.1333333253860474
1657636932.4828837,900,-2.2083332538604736
1657637069.3057086,907,-1.850000023841858
1657637086.544256,909,-2.696969747543335
1657637173.0168278,915,-1.5144509077072144
1657637254.1204863,917,-2.4191176891326904
1657637445.0284169,931,-1.1333333253860474
1657637488.7751687,932,-2.700906276702881
1657637676.7992446,942,-1.361963152885437
1657637698.3886673,945,-2.7240355014801025
1657637863.2295892,954,-1.2077921628952026
1657637921.0621076,958,-1.2077921628952026
1657637984.5108984,962,-1.902438998222351
1657638065.7882934,971,-2.612903118133545
1657638104.4857755,972,-1.3780487775802612
1657638180.7005763,978,-1.3291925191879272
1657638189.2631476,979,-1.9620853662490845
1657638293.5082128,984,-2.424908399581909
1657638488.8108056,996,-2.3203125
1657638650.2707658,1002,-3.0889830589294434
1657638674.5214572,1005,-1.1333333253860474
1657638864.3803675,1014,-1.1333333253860474
1657639088.9375162,1025,-2.0092592239379883
1657639475.3814733,1044,-3.2252252101898193
1657639809.0132768,1057,-1.8712871074676514
1657639905.231995,1063,-1.5144509077072144
1657639924.149503,1066,-1.1333333253860474
1657640016.1525185,1068,-1.86069655418396
1657640117.1708248,1072,-2.045454502105713
1657640195.1836224,1078,-1.1333333253860474
1657640275.3706908,1083,-1.361963152885437
1657640490.3410585,1093,-1.9620853662490845
1657640580.85908,1099,-2.696969747543335
1657640683.2421227,1103,-1.86069655418396
