Wall time,Step,Value
1657715141,373,-3.158512831
1657715229,377,-2.552188635
1657715327,379,-2.527397156
1657715606,391,-2.652037621
1657715612,392,-1.425149679
1657716012,408,-1.663043499
1657716384,421,-2.542372942
1657716395,422,-2.352490425
1657716473,424,-1.189542532
1657716595,430,-2.122270823
1657716772,439,-2.739002943
1657716789,441,-1.932692289
1657716798,442,-2.200836897
1657716866,445,-2.537415028
1657716995,451,-2.286852598
1657717199,460,-2.130434752
1657717219,463,-1.133333325
1657717294,464,-1.981220603
1657717622,474,-1.892156839
1657717985,489,-1.393939376
1657717994,491,-1.133333325
1657718023,493,-3.165048599
1657718463,507,-1.378048778
1657718582,512,-1.485380173
1657718712,514,-2.377358437
1657718746,517,-1.99065423
1657719051,525,-2.97129178
1657719145,531,-1.514450908
1657719160,533,-2.453237295
1657719255,536,-2.122270823
1657719355,542,-2.485915422
1657719442,547,-2.924999952
1657719611,557,-1.962085366
1657719675,559,-1.892156839
1657719706,563,-1.243589759
1657719905,569,-2.447653532
1657719957,573,-1.57062149
1657720136,579,-1.470588207
1657720154,581,-1.760416627
1657720170,582,-2.871391058
1657720224,584,-2.395522356
1657720239,586,-1.912621379
1657720244,587,-1.345679045
1657720347,592,-2.527397156
1657720360,593,-2.708708763
1657720499,602,-1.922705293
1657720586,608,-1.470588207
1657720657,610,-2.485915422
1657720767,615,-1.171052575
1657720940,620,-1.54285717
1657720961,622,-2.266129017
1657721306,634,-1.817258835
1657721432,641,-2.532423258
1657721440,642,-2.105726957
1657721512,644,-1.817258835
1657721526,645,-2.672839403
1657721531,646,-1.361963153
1657721540,647,-1.839195967
1657721594,649,-1.133333325
1657721623,652,-1.133333325
1657721697,656,-2.672839403
1657721829,661,-3.428950787
1657721917,664,-1.54285717
1657721943,668,-1.528735638
1657722015,671,-2.485915422
1657722071,674,-1.295597434
1657722107,678,-2.724035501
1657722139,679,-1.922705293
1657722179,683,-2.594771147
1657722261,688,-1.361963153
1657722340,689,-2.208333254
1657722478,696,-2.237704992
1657722564,699,-2.371212006
1657722587,703,-1.794871807
1657722731,706,-1.345679045
1657722890,714,-1.171052575
1657722914,718,-1.514450908
1657722974,721,-2.932038784
1657722980,722,-1.485380173
1657722992,723,-2.612903118
1657723143,730,-1.902438998
1657723237,736,-3.14342618
1657723247,738,-1.54285717
1657723333,739,-2.676923037
1657723377,743,-1.3125
1657723459,747,-1.556818128
1657723559,750,-1.528735638
1657723565,751,-1.556818128
1657723570,752,-1.345679045
1657723643,756,-1.378048778
1657723868,765,-3.338461637
1657723939,769,-2.045454502
1657723953,770,-2.724035501
1657723957,771,-1.133333325
1657723981,773,-2.880208254
1657724032,774,-2.566666603
1657724154,780,-2.51211071
1657724243,784,-1.345679045
1657724248,785,-1.3125
1657724259,787,-1.528735638
1657724420,789,-2.988235235
1657724439,792,-2.063063145
1657724447,793,-2.122270823
