Wall time,Step,Value
1657720412.106724,5,-2.7087087631225586
1657720697.467845,18,-1.8817733526229858
1657720817.4190521,24,-2.0888888835906982
1657721120.5342848,40,-3.2985317707061768
1657721187.5436592,42,-1.8712871074676514
1657721208.856005,44,-1.5144509077072144
1657721216.1288378,45,-2.13043475151062
1657721282.0228353,47,-1.9126213788986206
1657721413.485652,53,-2.5185184478759766
1657721439.5354722,56,-2.990610361099243
1657721675.6773884,65,-3.197761297225952
1657721813.7978659,71,-1.3125
1657721877.1742585,73,-2.045454502105713
1657721883.9158201,74,-2.105726957321167
1657722039.0466728,79,-1.7604166269302368
1657722301.7940903,87,-2.2231404781341553
1657722405.9032538,94,-1.1523178815841675
1657722588.1687331,102,-2.7536232471466064
1657722609.8239274,105,-2.2868525981903076
1657722618.3352091,106,-2.3895130157470703
1657722725.686865,113,-1.361963152885437
1657722812.0706923,118,-1.1333333253860474
1657722879.8375084,126,-2.5901639461517334
1657722928.9068267,130,-1.1333333253860474
1657723032.6193976,139,-2.326848268508911
1657723357.6555676,150,-2.818681240081787
1657723436.1035805,155,-1.5706214904785156
1657723519.219767,158,-1.361963152885437
1657723708.4532623,167,-1.3291925191879272
1657723713.1500328,168,-1.4853801727294922
1657723854.190133,178,-1.584269642829895
1657723974.559591,183,-1.1333333253860474
1657723990.891939,185,-1.8817733526229858
1657723995.2793849,186,-1.2955974340438843
1657724092.854424,190,-2.0973451137542725
1657724333.7878704,198,-2.2231404781341553
1657724441.2617393,206,-1.8282828330993652
1657724535.2353165,207,-2.2591092586517334
1657724635.4959185,212,-1.1523178815841675
1657724878.2110813,223,-2.7125749588012695
1657725001.884256,229,-2.395522356033325
1657725069.548807,234,-3.0380313396453857
1657725118.7734513,237,-2.1222708225250244
1657725271.4602587,249,-2.0275230407714844
1657725350.9907265,255,-1.9716981649398804
1657725458.210612,260,-1.5706214904785156
1657725498.2654808,263,-1.8921568393707275
1657725567.614959,267,-2.2661290168762207
1657725585.1682124,271,-1.1333333253860474
1657725646.857898,273,-3.009216547012329
1657726100.2689893,292,-2.7240355014801025
1657726155.4848204,297,-1.584269642829895
1657726168.0980155,298,-2.795518159866333
1657726224.5394697,303,-2.2799999713897705
1657726298.871023,308,-2.0973451137542725
1657726313.1248937,310,-1.3291925191879272
1657726530.7523372,318,-2.862433910369873
1657726542.3137376,319,-2.6890244483947754
1657726625.5508099,326,-2.1545064449310303
1657726670.6624773,327,-1.3291925191879272
1657726691.9238236,330,-2.7536232471466064
1657726844.3951185,339,-1.3125
1657726979.282446,347,-2.9356436729431152
1657727231.4957557,363,-1.86069655418396
1657727332.898376,367,-2.1856539249420166
1657727436.6825895,373,-2.114035129547119
1657727587.123052,377,-2.696969747543335
1657727600.7799394,379,-1.1333333253860474
1657727828.349227,391,-2.2008368968963623
1657727902.243977,392,-2.821917772293091
1657728222.3095088,408,-1.361963152885437
1657728455.7346795,421,-3.236234426498413
1657728491.1015706,422,-2.307086706161499
1657728503.1620376,424,-1.528735637664795
1657728588.0960555,430,-1.850000023841858
1657728684.9660752,439,-1.3125
1657728701.5032187,441,-2.5172414779663086
1657728753.0485117,442,-2.700906276702881
1657728781.372153,445,-1.772020697593689
1657728882.372236,451,-1.942583680152893
1657729022.7614813,460,-2.8802082538604736
1657729085.2503657,463,-1.66304349899292
1657729092.287332,464,-2.0275230407714844
1657729280.8433805,474,-3.1714835166931152
1657729552.3376474,489,-2.4642856121063232
1657729567.5950482,491,-2.0092592239379883
1657729650.888909,493,-2.2868525981903076
1657730011.01823,507,-2.7240355014801025
1657730080.3932817,512,-1.3456790447235107
1657730095.131395,514,-1.4853801727294922
1657730148.3239129,517,-1.1333333253860474
1657730294.4986522,525,-1.5144509077072144
1657730411.255432,531,-2.114035129547119
1657730459.2329314,533,-1.8172588348388672
1657730522.8926105,536,-1.5568181276321411
1657730747.1238582,542,-1.1523178815841675
1657730862.0172532,547,-1.2784810066223145
1657731029.8761003,557,-2.071748971939087
1657731038.7711537,559,-1.470588207244873
1657731191.8738415,563,-2.1222708225250244
1657731306.2513163,569,-1.1523178815841675
1657731363.963461,573,-1.7835052013397217
1657731466.911565,579,-1.528735637664795
1657731491.7435746,581,-1.6502732038497925
1657731548.5703812,582,-2.512110710144043
1657731567.8273425,584,-2.346153736114502
1657731584.0614479,586,-2.4642856121063232
1657731634.1665235,587,-1.5428571701049805
1657731738.471546,592,-3.1060290336608887
1657731749.82432,593,-2.307086706161499
1657731969.4386523,602,-2.0542986392974854
1657732130.089914,608,-2.4191176891326904
1657732159.1064844,610,-3.092827081680298
1657732253.0898027,615,-2.557046890258789
1657732332.012495,620,-1.5568181276321411
1657732403.496314,622,-1.5568181276321411
1657732591.6074765,634,-1.2435897588729858
1657732687.4406497,641,-1.1333333253860474
1657732727.5554986,642,-2.6645963191986084
1657732745.6215358,644,-1.470588207244873
1657732760.3246999,646,-1.2784810066223145
1657732837.6452098,647,-2.522336721420288
1657732860.4518514,649,-3.0672450065612793
1657733092.7159166,661,-1.528735637664795
1657733195.43985,664,-2.2799999713897705
1657733290.0507836,668,-1.361963152885437
1657733318.232223,671,-3.0023202896118164
1657733362.3740683,674,-1.1333333253860474
1657733434.2419372,678,-2.2304527759552
1657733446.150855,679,-2.7048192024230957
1657733534.3498018,683,-2.6217949390411377
1657733622.1834915,688,-1.5144509077072144
1657733634.7556188,689,-2.7536232471466064
1657733713.3218703,696,-2.58552622795105
1657733782.9352782,699,-2.0973451137542725
1657733870.839354,703,-2.2868525981903076
1657733885.2809277,706,-1.9126213788986206
1657734067.7909222,714,-1.528735637664795
1657734186.1175563,718,-1.528735637664795
1657734218.0695293,721,-1.5144509077072144
1657734276.4761696,722,-2.1856539249420166
1657734285.543724,723,-2.3834586143493652
1657734434.917173,730,-1.66304349899292
1657734496.385943,736,-2.821917772293091
1657734539.6047838,738,-1.1523178815841675
1657734544.6083663,739,-1.528735637664795
1657734637.055362,743,-1.1523178815841675
1657734757.4871523,747,-3.277310848236084
1657734787.8600786,750,-2.6520376205444336
1657734794.4399664,751,-2.0092592239379883
1657734867.643944,752,-1.5
1657734901.9181266,756,-2.4587814807891846
1657735090.4889305,765,-2.071748971939087
1657735200.5973387,769,-2.1545064449310303
1657735206.6521723,770,-1.850000023841858
1657735212.595268,771,-1.839195966720581
1657735253.8191917,773,-1.3456790447235107
1657735259.9225783,774,-1.850000023841858
1657735329.1381626,780,-3.163424015045166
1657735380.5946598,784,-1.5568181276321411
1657735385.5228016,785,-1.528735637664795
1657735486.2625477,787,-1.1523178815841675
1657735512.703711,789,-3.140000104904175
1657735573.628196,792,-2.9086294174194336
1657735600.3514478,793,-3.3562874794006348
1657735605.8132823,794,-1.6502732038497925
1657735617.170424,795,-2.6930091381073
1657735693.4347808,798,-3.0811965465545654
1657735741.3013842,802,-1.2955974340438843
1657735914.169164,807,-3.3333332538604736
1657735921.9403968,808,-2.252032518386841
1657735929.9123461,809,-2.2083332538604736
1657736056.848391,815,-1.1333333253860474
1657736252.3942606,825,-1.7604166269302368
1657736364.726131,828,-1.1523178815841675
1657736432.7585027,832,-2.063063144683838
1657736483.434966,836,-3.2252252101898193
1657736548.3556964,838,-3.0380313396453857
1657736669.4824376,843,-2.643533229827881
1657737132.2076516,867,-2.0275230407714844
1657737154.8738105,869,-3.0966386795043945
1657737159.8955653,870,-1.5428571701049805
1657737218.855764,874,-1.1523178815841675
1657737239.2542481,876,-2.818681240081787
1657737295.4344609,880,-1.1333333253860474
1657737347.0052667,882,-1.2955974340438843
1657737462.0542524,890,-1.942583680152893
1657737525.4928591,896,-2.580857992172241
1657737603.918182,900,-2.0
1657737775.9067848,907,-3.052863359451294
1657737787.0839415,908,-2.612903118133545
1657737796.0627923,909,-2.3773584365844727
1657737800.4002163,910,-1.3456790447235107
1657737907.1223395,915,-2.13043475151062
1657737990.1465454,917,-1.850000023841858
1657738011.5599706,920,-1.884615421295166
1657738016.4221315,921,-1.4853801727294922
1657738119.7295165,923,-2.2008368968963623
1657738256.0063405,931,-3.0271494388580322
1657738305.6233132,932,-1.5568181276321411
1657738360.8325043,935,-1.8061224222183228
1657738517.8391943,942,-1.1523178815841675
1657738540.0017283,945,-2.5273971557617188
1657738679.137614,954,-2.512110710144043
1657738691.9993532,956,-1.9812206029891968
1657738728.1263094,958,-1.9620853662490845
1657738745.1509237,961,-1.8172588348388672
1657738796.809324,962,-2.966346263885498
1657738977.2502072,971,-2.7352941036224365
1657739018.1202962,972,-1.1333333253860474
1657739047.2566657,976,-1.1333333253860474
1657739109.539812,977,-1.5428571701049805
1657739119.3519495,978,-2.522336721420288
1657739129.3195455,979,-2.547297239303589
1657739221.2029738,983,-2.1385281085968018
1657739231.8773243,984,-2.5901639461517334
1657739340.1337564,987,-1.3291925191879272
1657739344.6014938,988,-1.3456790447235107
1657739480.4671357,996,-2.8378379344940186
1657739573.158996,1000,-2.170212745666504
1657739601.4072993,1002,-1.1333333253860474
1657739626.6156027,1004,-2.8860104084014893
1657739632.2665262,1005,-1.7948718070983887
1657739821.6861625,1013,-1.470588207244873
1657739838.0156643,1014,-3.035874366760254
1657739983.3359053,1017,-3.2624356746673584
1657740087.7962182,1025,-1.8061224222183228
1657740142.825173,1027,-1.3125
1657740166.9000282,1031,-2.045454502105713
1657740210.5623088,1032,-1.5568181276321411
1657740262.996864,1037,-2.114035129547119
1657740360.1835244,1044,-1.1523178815841675
1657740575.6806405,1055,-2.6520376205444336
1657740653.8654103,1057,-1.9716981649398804
1657740761.1713572,1063,-3.1762452125549316
1657740791.9992702,1066,-1.5706214904785156
1657740882.3859737,1068,-3.0271494388580322
1657740945.6090338,1072,-2.485915422439575
1657740977.683633,1076,-2.036529779434204
1657741011.9732642,1078,-1.470588207244873
1657741077.1288946,1083,-1.470588207244873
1657741082.838409,1084,-1.7948718070983887
1657741087.7986968,1085,-1.5428571701049805
1657741270.8556142,1093,-1.1523178815841675
1657741372.9369717,1099,-2.6890244483947754
1657741490.2999122,1103,-2.8860104084014893
1657741495.5984125,1104,-1.6111111640930176
1657741514.0893204,1105,-3.1097309589385986
1657741715.6791449,1114,-1.2435897588729858
1657741830.9515383,1119,-1.528735637664795
1657742178.6779323,1133,-2.4912281036376953
1657742194.0311942,1135,-2.1222708225250244
1657742578.7280533,1155,-1.932692289352417
1657742582.5483627,1156,-1.1333333253860474
1657742698.5139062,1160,-2.985849142074585
1657742709.7480528,1161,-2.6520376205444336
1657742805.2242787,1162,-2.874345541000366
1657743115.1220443,1180,-2.58552622795105
1657743192.7117379,1185,-1.66304349899292
1657743370.3273933,1192,-3.348484754562378
1657743384.659413,1193,-2.9058523178100586
1657743508.3409293,1199,-1.1523178815841675
1657743522.0938601,1201,-2.358778715133667
1657743605.5740917,1206,-1.5568181276321411
1657743668.397695,1208,-1.3939393758773804
1657743679.8459327,1210,-2.0973451137542725
1657743779.7871938,1214,-2.5714285373687744
1657744115.7999198,1232,-1.1333333253860474
1657744137.1423912,1234,-3.031531572341919
1657744159.5383296,1236,-2.617363452911377
1657744404.1339924,1244,-2.485915422439575
1657744460.9663591,1247,-2.599348545074463
1657744542.980074,1253,-2.6850152015686035
1657744574.7216463,1255,-3.118852376937866
1657744688.1722295,1257,-1.1523178815841675
1657744694.0088089,1258,-1.8172588348388672
1657744721.8275537,1261,-1.5568181276321411
1657744866.9051604,1266,-2.532423257827759
1657745006.2809446,1274,-3.0811965465545654
1657745159.2190242,1281,-3.3322980403900146
1657745281.112243,1287,-1.5428571701049805
1657745330.2396984,1291,-2.795518159866333
1657745358.7147624,1292,-2.532423257827759
1657745369.237795,1293,-2.603896141052246
1657745375.9491599,1294,-2.0092592239379883
1657745456.937372,1300,-1.3291925191879272
1657745613.066787,1310,-2.720238208770752
1657745673.4080565,1312,-1.1333333253860474
1657745692.957408,1315,-1.9227052927017212
1657745706.4463584,1316,-2.874345541000366
1657745773.1067429,1319,-1.3291925191879272
1657745866.3296385,1325,-3.1152262687683105
1657745945.0899892,1327,-2.105726957321167
1657745965.7468197,1330,-1.1710525751113892
1657746046.7496324,1333,-3.352409601211548
1657746075.9610608,1336,-2.7608067989349365
1657746157.4723916,1337,-2.071748971939087
1657746514.746432,1355,-2.13043475151062
1657746750.9914224,1366,-1.1333333253860474
1657746831.831606,1370,-2.2936508655548096
1657747070.747819,1385,-2.8654353618621826
1657747124.0584967,1388,-1.7948718070983887
1657747128.763741,1389,-1.5144509077072144
1657747144.5425134,1391,-1.8817733526229858
1657747169.0020585,1392,-1.2784810066223145
1657747568.5364158,1412,-2.75
1657747577.8513572,1413,-2.4965035915374756
1657747586.499528,1414,-2.346153736114502
1657747684.4530451,1419,-3.249563694000244
1657747793.7387867,1422,-2.045454502105713
1657747823.1731641,1426,-1.902438998222351
1657747882.5223103,1428,-2.7048192024230957
1657747984.6578343,1432,-1.361963152885437
1657748010.3369412,1436,-2.0542986392974854
1657748074.4671447,1440,-1.5428571701049805
1657748258.7664165,1456,-1.2955974340438843
1657748369.075987,1465,-1.3291925191879272
1657748378.5182693,1466,-2.4965035915374756
1657748688.7233675,1477,-2.8533332347869873
1657748794.6350148,1485,-2.818681240081787
1657748799.1716228,1486,-1.42514967918396
1657748901.913573,1489,-1.528735637664795
1657748921.6376061,1491,-2.8088643550872803
1657748954.9146852,1492,-1.3456790447235107
1657749065.968234,1500,-1.1333333253860474
1657749073.4775636,1501,-2.1779661178588867
1657749192.7304146,1508,-2.307086706161499
1657749216.3657606,1510,-1.1333333253860474
1657749424.7337935,1523,-2.2799999713897705
1657749437.2446826,1524,-2.506944417953491
1657749533.3827713,1527,-2.3834586143493652
1657749616.0398884,1534,-1.675675630569458
1657749802.9153244,1546,-2.844085931777954
1657749890.998452,1551,-1.5144509077072144
1657749942.7099087,1552,-1.3939393758773804
1657749959.756137,1554,-1.1523178815841675
1657750054.6242094,1561,-2.2448978424072266
1657750187.4511104,1568,-2.045454502105713
1657750206.0179822,1569,-3.118852376937866
1657750340.5313773,1578,-1.3780487775802612
1657750405.683599,1582,-2.7643678188323975
1657750427.3278377,1584,-2.75
1657750504.4404888,1588,-3.052863359451294
1657750686.1567729,1597,-2.696969747543335
1657750789.2463977,1604,-2.501742124557495
1657750794.1754858,1605,-1.5706214904785156
1657750928.3895473,1610,-2.0542986392974854
1657751084.9519722,1618,-2.4476535320281982
1657751095.2865934,1620,-1.4556212425231934
1657751323.8429322,1627,-2.6604361534118652
1657751335.8132145,1628,-2.7536232471466064
1657751427.3014638,1632,-1.1333333253860474
1657751539.0200062,1637,-2.8654353618621826
1657751555.6212723,1640,-1.2784810066223145
1657751638.0286112,1642,-2.812154769897461
1657751667.4646945,1645,-2.5761590003967285
1657751764.2548652,1648,-2.6520376205444336
1657751836.286922,1652,-1.1333333253860474
1657751950.891398,1660,-1.3291925191879272
1657752110.2491097,1668,-1.9126213788986206
1657752135.1713097,1670,-2.8802082538604736
1657752169.399754,1672,-2.313725471496582
1657752183.0832603,1675,-1.700534701347351
1657752189.0207212,1676,-1.86069655418396
1657752346.459826,1682,-1.470588207244873
1657752367.7977893,1683,-3.0792291164398193
1657752497.7217004,1691,-1.3780487775802612
1657752556.8507826,1694,-1.3125
1657752566.4412708,1695,-2.512110710144043
1657752571.1662598,1696,-1.528735637664795
1657752637.7439187,1697,-1.9620853662490845
1657752652.980166,1699,-1.2955974340438843
1657752709.4554212,1702,-2.1222708225250244
1657752781.702212,1709,-1.5144509077072144
1657752786.5714047,1710,-1.5144509077072144
1657752988.1844547,1717,-1.8921568393707275
1657752995.1518466,1718,-2.105726957321167
1657753004.8004959,1719,-2.542372941970825
1657753242.2215154,1728,-2.0542986392974854
1657753317.2151399,1732,-1.3456790447235107
1657753332.4441757,1734,-1.66304349899292
1657753342.5880747,1735,-2.557046890258789
1657753437.0645893,1737,-2.7048192024230957
1657753541.8834782,1742,-1.2784810066223145
1657753549.5494072,1743,-2.170212745666504
1657753579.9035397,1745,-1.1523178815841675
1657753586.326565,1746,-1.9227052927017212
1657753645.0888076,1747,-2.720238208770752
1657753737.9768932,1752,-3.0966386795043945
1657753960.3021283,1766,-1.4853801727294922
1657754123.65756,1775,-3.2210144996643066
1657754190.8833241,1781,-1.5428571701049805
1657754301.1666389,1788,-1.9812206029891968
1657754308.35115,1789,-2.1385281085968018
1657754483.6111,1798,-1.361963152885437
1657754623.0957057,1805,-1.6373625993728638
1657754844.2923882,1814,-3.2624356746673584
1657754991.2467573,1817,-2.522336721420288
1657755115.742049,1824,-2.720238208770752
1657755132.7532282,1826,-1.2784810066223145
1657755226.0506017,1830,-1.528735637664795
1657755346.727391,1840,-1.3456790447235107
1657755351.034783,1841,-1.3125
1657755394.6738975,1844,-1.528735637664795
1657755443.6799111,1849,-1.528735637664795
1657755524.5951,1853,-1.1333333253860474
1657755761.7502432,1866,-1.470588207244873
1657755841.6391118,1868,-1.3780487775802612
1657755846.1076946,1869,-1.3780487775802612
1657755916.7734559,1875,-2.834688425064087
1657755923.0959804,1876,-1.942583680152893
1657755968.564506,1877,-1.9620853662490845
1657755978.7992375,1879,-1.1333333253860474
1657755993.050946,1881,-1.2611465454101562
1657756254.0022702,1893,-1.9906542301177979
1657756635.8511355,1911,-2.5901639461517334
1657756792.1691132,1917,-1.5
1657756939.5034719,1924,-1.839195966720581
1657757065.06868,1930,-2.3712120056152344
1657757125.2856,1934,-1.839195966720581
1657757148.9519675,1936,-2.6930091381073
1657757218.6277847,1938,-1.1523178815841675
1657757357.629899,1944,-2.8802082538604736
1657757411.910368,1947,-1.5428571701049805
1657757443.7074392,1949,-3.1382765769958496
1657757491.8143654,1952,-2.1222708225250244
1657757523.0476615,1955,-2.5761590003967285
1657757577.7069693,1958,-2.1222708225250244
1657757776.7172563,1967,-1.839195966720581
1657757792.077393,1969,-2.58552622795105
1657758016.0555198,1981,-3.12601637840271
1657758071.0680442,1982,-2.0973451137542725
1657758078.6355057,1983,-2.193277359008789
1657758379.1127894,1997,-2.3834586143493652
1657758418.1952095,2001,-1.528735637664795
1657758517.2531111,2005,-2.9002556800842285
1657758678.7355156,2009,-2.9303481578826904
1657758683.579966,2010,-1.5428571701049805
1657758767.768002,2013,-2.2304527759552
1657758776.5789027,2015,-1.3456790447235107
1657758869.3756232,2017,-2.9810426235198975
1657758987.371626,2025,-2.805555582046509
1657759065.3578446,2027,-1.9227052927017212
1657759090.791294,2030,-2.75
1657759162.113272,2033,-1.839195966720581
1657759179.0937843,2036,-1.9716981649398804
1657759237.2496724,2038,-2.193277359008789
1657759266.1239908,2041,-1.5428571701049805
1657759321.0449715,2044,-1.3291925191879272
1657759626.701169,2060,-2.877284526824951
1657759783.0471447,2067,-1.1333333253860474
1657759834.820652,2072,-1.584269642829895
1657759842.5127282,2073,-2.2448978424072266
1657759850.6206548,2074,-1.528735637664795
1657759869.8365998,2076,-2.757225513458252
1657759918.644109,2077,-2.018433094024658
1657759929.4905536,2079,-1.9716981649398804
1657759946.1314747,2081,-1.952380895614624
1657760030.7356007,2085,-1.528735637664795
1657760108.1272006,2089,-2.785310745239258
1657760170.5008936,2094,-2.512110710144043
1657760179.0562546,2096,-1.4853801727294922
1657760365.5994885,2103,-2.2083332538604736
1657760374.2848668,2105,-1.528735637664795
1657760378.6462643,2106,-1.361963152885437
1657760440.8735132,2111,-1.942583680152893
1657760490.5482056,2115,-1.1523178815841675
1657760600.8120713,2120,-1.8172588348388672
1657760676.502747,2122,-2.036529779434204
1657760682.047612,2123,-1.7248677015304565
1657760852.8425014,2133,-3.3865904808044434
1657760859.045407,2134,-1.86069655418396
1657760919.1598172,2138,-1.8061224222183228
1657760938.8520775,2141,-2.063063144683838
1657760979.5040145,2144,-1.528735637664795
1657760986.5680997,2145,-2.13043475151062
1657761020.1392088,2148,-1.9620853662490845
1657761027.7388418,2149,-2.1779661178588867
1657761040.0449286,2151,-1.8061224222183228
1657761105.8082933,2156,-1.8282828330993652
1657761167.1843708,2157,-2.0
1657761359.6802218,2164,-3.2224230766296387
1657761368.7467647,2165,-2.430656909942627
1657761476.8185964,2169,-1.902438998222351
1657761491.9950552,2171,-1.470588207244873
1657761526.8358386,2173,-1.5706214904785156
1657761609.7140567,2177,-2.045454502105713
1657761945.5684342,2187,-2.13043475151062
1657761957.6831934,2189,-2.105726957321167
1657761978.8949585,2191,-2.9537713527679443
1657762014.6004596,2192,-2.6687307357788086
1657762042.652455,2196,-2.4965035915374756
1657762144.3245382,2199,-2.4965035915374756
1657762303.1537983,2207,-2.7048192024230957
1657762328.1664596,2211,-1.3125
1657762403.6801093,2214,-1.528735637664795
1657762611.4123135,2225,-2.045454502105713
1657762723.6208277,2229,-1.597765326499939
1657762740.36645,2231,-1.189542531967163
1657762802.4661348,2234,-1.4853801727294922
1657762818.3329668,2236,-1.528735637664795
1657762894.6944284,2237,-1.1523178815841675
1657762906.0710511,2239,-1.361963152885437
1657762929.2627704,2241,-2.9113924503326416
1657763017.9928377,2242,-1.3291925191879272
1657763031.379126,2244,-2.0973451137542725
1657763049.8511465,2246,-2.6930091381073
1657763113.0460677,2247,-1.3456790447235107
1657763144.9902954,2251,-1.528735637664795
1657763231.4408467,2254,-2.2008368968963623
1657763296.1630297,2257,-1.9906542301177979
1657763432.06589,2262,-3.382183790206909
1657763657.8993883,2274,-2.522336721420288
1657763728.4311512,2278,-2.071748971939087
1657763750.6959646,2281,-1.3780487775802612
1657763965.6137674,2291,-3.1097309589385986
1657764063.3022354,2297,-1.1333333253860474
1657764067.3309708,2298,-1.1333333253860474
1657764083.2150235,2300,-2.346153736114502
1657764168.9103835,2303,-2.547297239303589
1657764190.472732,2306,-1.470588207244873
1657764245.1493268,2307,-1.1333333253860474
1657764249.1813562,2308,-1.1333333253860474
1657764445.8487747,2318,-2.985849142074585
1657764460.5046809,2319,-2.933002471923828
1657764465.2313116,2320,-1.470588207244873
1657764551.780126,2322,-2.5901639461517334
1657764806.2193968,2334,-1.8282828330993652
1657764819.7839837,2335,-2.8684210777282715
1657764827.660514,2336,-2.2304527759552
1657764861.7393358,2337,-2.2799999713897705
1657764963.379592,2345,-1.2077921628952026
1657765118.5047402,2354,-2.0542986392974854
1657765490.2879019,2371,-1.5568181276321411
1657765783.3029635,2385,-2.0542986392974854
1657765850.6313677,2388,-2.7048192024230957
1657765855.5763218,2389,-1.5428571701049805
1657765859.432656,2390,-1.1333333253860474
1657765912.8282363,2392,-2.580857992172241
1657766046.5626378,2400,-3.185606002807617
1657766083.6326668,2402,-2.063063144683838
1657766106.9047503,2406,-1.470588207244873
1657766315.7542658,2416,-1.1333333253860474
1657766456.64417,2424,-2.105726957321167
1657766462.8951097,2425,-1.7777777910232544
1657766725.8825889,2436,-1.6373625993728638
1657766944.696689,2444,-2.5172414779663086
1657767089.2602859,2450,-3.0652174949645996
1657767093.5628924,2451,-1.3291925191879272
1657767162.8759284,2453,-1.1333333253860474
1657767175.8032274,2455,-1.9126213788986206
1657767303.1428475,2460,-2.0542986392974854
1657767764.7101653,2479,-1.1523178815841675
1657767775.620429,2481,-1.8817733526229858
1657767885.940409,2485,-2.036529779434204
1657767896.8531997,2486,-2.252032518386841
1657768125.5915174,2496,-2.4420289993286133
1657768166.5615642,2498,-2.4420289993286133
1657768201.4115095,2501,-1.5706214904785156
1657768298.9482012,2502,-2.4965035915374756
1657768304.347355,2503,-1.66304349899292
1657768492.7200172,2513,-2.3203125
1657768502.34561,2514,-2.4965035915374756
1657768557.8930602,2517,-1.5706214904785156
1657768571.8242767,2519,-1.584269642829895
1657768685.164585,2523,-2.65625
1657768701.9742796,2525,-1.3291925191879272
1657768804.7318347,2528,-2.781869649887085
1657768839.078344,2530,-3.3533835411071777
1657768871.5976112,2532,-1.361963152885437
1657768886.5387301,2534,-2.603896141052246
1657768976.7519295,2543,-1.584269642829895
1657769067.3638587,2547,-2.036529779434204
1657769099.1182318,2551,-1.7835052013397217
1657769157.5855782,2553,-1.5568181276321411
1657769181.6882374,2556,-2.2661290168762207
1657769254.2065277,2559,-1.9126213788986206
1657769429.2743492,2565,-1.942583680152893
1657769433.0074716,2566,-1.1523178815841675
1657769511.018499,2570,-2.1385281085968018
1657769621.1298373,2573,-3.3291730880737305
1657769646.7064095,2576,-2.547297239303589
1657769699.9154904,2578,-1.1710525751113892
1657769882.3096848,2587,-1.772020697593689
1657769902.6422236,2590,-2.2591092586517334
1657769907.4035103,2591,-1.528735637664795
1657769951.3243985,2592,-1.2435897588729858
1657769956.8530514,2593,-1.8061224222183228
1657769987.1976292,2596,-3.148514747619629
1657770082.6024017,2600,-2.1545064449310303
1657770171.4335873,2606,-2.58552622795105
1657770238.0906808,2607,-2.4476535320281982
1657770266.475602,2610,-2.5714285373687744
1657770469.5351942,2618,-1.952380895614624
1657770614.4146316,2623,-1.952380895614624
1657770641.1125495,2626,-2.91959810256958
1657770734.262226,2629,-2.5761590003967285
1657770740.8783727,2630,-2.071748971939087
1657770806.0440485,2636,-1.3291925191879272
1657770855.9672077,2638,-1.5428571701049805
1657770911.8210676,2644,-2.071748971939087
1657771019.4559608,2647,-1.7948718070983887
1657771051.048956,2650,-1.1523178815841675
1657771073.1059191,2651,-3.180952310562134
1657771202.611457,2655,-1.1523178815841675
1657771568.5912306,2674,-1.1333333253860474
1657771651.8491974,2678,-3.3504531383514404
1657771661.584752,2680,-1.675675630569458
1657771761.9000893,2685,-2.2448978424072266
1657771852.9611535,2690,-2.7125749588012695
1657772051.5708034,2703,-2.4420289993286133
1657772137.942255,2707,-1.1333333253860474
1657772179.6141515,2710,-1.942583680152893
1657772505.5437655,2725,-1.3291925191879272
1657772697.9449818,2736,-2.547297239303589
1657772748.172791,2737,-2.9786224365234375
1657772779.3634338,2740,-2.9737470149993896
1657772919.5253887,2746,-3.3591654300689697
1657773128.7607105,2753,-1.5568181276321411
1657773133.8511727,2754,-1.66304349899292
1657773138.9432187,2755,-1.66304349899292
1657773144.2948627,2756,-1.7486910820007324
1657773181.160304,2757,-1.3939393758773804
1657773188.9492693,2758,-2.3003952503204346
1657773353.062137,2766,-2.4476535320281982
1657773829.899863,2789,-2.430656909942627
1657773839.775725,2790,-2.537415027618408
1657773853.2515953,2791,-2.834688425064087
1657774056.791419,2798,-2.1222708225250244
1657774267.826537,2809,-3.269948959350586
1657774280.0547369,2811,-1.1523178815841675
1657774501.145628,2823,-1.700534701347351
1657774505.4961147,2824,-1.3939393758773804
1657774564.5554707,2827,-2.532423257827759
1657774609.7502391,2829,-3.0611352920532227
1657774618.3529449,2830,-2.4420289993286133
1657774662.272154,2832,-1.3291925191879272
1657774976.8934116,2851,-2.0542986392974854
1657775034.8472104,2856,-1.7835052013397217
1657775084.98128,2859,-2.522336721420288
1657775124.4075587,2862,-1.528735637664795
1657775292.0708718,2871,-1.7604166269302368
1657775345.5906765,2872,-1.5706214904785156
1657775453.0662432,2878,-3.163424015045166
1657775474.126864,2880,-2.557046890258789
1657775480.283017,2881,-1.932692289352417
1657775670.4324896,2887,-2.193277359008789
1657775696.785227,2890,-1.8172588348388672
1657775703.5945296,2891,-2.1222708225250244
1657775791.917543,2896,-2.7463557720184326
1657775931.52314,2898,-2.018433094024658
1657775952.4385674,2900,-1.8712871074676514
1657776039.4836504,2903,-2.4476535320281982
1657776043.7693236,2904,-1.3780487775802612
1657776198.851666,2912,-1.9620853662490845
1657776286.3225636,2917,-2.990610361099243
