,Step,Value
0,5,-2.859416484832764
1,18,-2.8444419515132906
2,24,-2.841220899212361
3,40,-2.8397387816013104
4,42,-2.834072316484272
5,45,-2.8188565933194294
6,53,-2.8056680273862353
7,56,-2.7889446803662334
8,71,-2.782277941787821
9,74,-2.7851276124355557
10,94,-2.7787418524015934
11,102,-2.785236348111739
12,106,-2.768907163446463
13,126,-2.774663214053972
14,139,-2.7806392090763654
15,155,-2.7676866187128963
16,158,-2.7513430857796277
17,167,-2.7521130339997426
18,178,-2.7400204753607946
19,183,-2.7305689886781708
20,185,-2.718550655168037
21,186,-2.7115494795566035
22,190,-2.7109543609664817
23,207,-2.7087039715812127
24,223,-2.6995656499363845
25,229,-2.6997341737157985
26,234,-2.7026429355896333
27,249,-2.6961594926267116
28,255,-2.6889148793498436
29,260,-2.67548252100358
30,267,-2.6623473273223985
31,271,-2.650429736121623
32,273,-2.637382229207642
33,292,-2.6267146218203505
34,308,-2.625920447995183
35,310,-2.610994576769092
36,318,-2.5995905130738497
37,330,-2.601447715395504
38,339,-2.5890528697704034
39,347,-2.581875212147376
40,363,-2.570910261753197
41,367,-2.5599070412081137
42,421,-2.5482473645548063
43,422,-2.5344754166603725
44,439,-2.520463995747629
45,442,-2.5140770893163826
46,445,-2.501721128489442
47,460,-2.488227096020389
48,463,-2.482965678722676
49,464,-2.481404504620538
50,474,-2.4714442613016274
51,491,-2.4580631519424716
52,493,-2.4564864729262514
53,514,-2.45354553912808
54,517,-2.44863093739929
55,531,-2.443956834055189
56,536,-2.4350854469909584
57,547,-2.4433462773202432
58,557,-2.4376256856217173
59,563,-2.4427871422931795
60,573,-2.4487180145378504
61,579,-2.4566869749106606
62,581,-2.452026647462732
63,586,-2.4445117280015785
64,587,-2.438127834943746
65,602,-2.4328727703832946
66,620,-2.4353538590399353
67,622,-2.4244571108967707
68,634,-2.432205092068229
69,641,-2.4341450216811467
70,642,-2.4252321431653847
71,644,-2.4155360341589627
72,647,-2.417509704998708
73,649,-2.4146389554638272
74,661,-2.4020157447250305
75,671,-2.3895187660936217
76,683,-2.3870890945230787
77,688,-2.376510128769727
