,Step,Value
0,373,-3.1585128310000004
1,377,-3.15244958904
2,379,-3.1461990647096
3,391,-3.141257450272504
4,392,-3.1240963725597792
5,408,-3.1094858438241815
6,421,-3.1038147148059396
7,422,-3.09630147190788
8,424,-3.0772338825088013
9,430,-3.067684251913713
10,439,-3.064397438824576
11,441,-3.05308038732633
12,442,-3.044557952423067
13,445,-3.0394865231788364
14,451,-3.031960183927048
15,460,-3.0229449296077777
16,463,-3.0040488135617
17,464,-2.993820531456083
18,474,-2.9828038945315223
19,489,-2.966915249346207
20,491,-2.948579430102745
21,493,-2.950744121791718
22,507,-2.935017168353801
23,512,-2.920520798400263
24,514,-2.9150891747862606
25,517,-2.905844825338398
26,525,-2.906499294885014
27,531,-2.892578811016164
28,533,-2.888185395856002
29,536,-2.880526250127442
30,542,-2.876580141846168
31,547,-2.8770643399477063
32,557,-2.8679145502082295
33,559,-2.8581569730961474
34,563,-2.842011300955186
35,569,-2.8380677232656337
36,573,-2.8253932609329775
37,579,-2.8118452103936478
38,581,-2.801330924559711
39,582,-2.802031525894114
40,584,-2.797966434195173
41,586,-2.789112983643221
42,587,-2.7746786442567886
43,592,-2.7722058293742204
44,593,-2.7715708587104784
45,602,-2.7630822030533735
46,608,-2.7501572630928397
47,610,-2.7475148446819113
48,615,-2.731750221985092
49,620,-2.719861291465241
50,622,-2.7153239687205883
51,634,-2.7063433173833826
52,641,-2.704604116789549
53,642,-2.6986153451916532
54,644,-2.689801780089737
55,645,-2.6896321563188397
56,646,-2.6763554662856515
57,647,-2.6679838712927952
58,649,-2.652637365829867
59,652,-2.6374443254215687
60,656,-2.637798276197353
61,661,-2.6457098013053795
62,664,-2.634681274992326
63,668,-2.6236218186224027
64,671,-2.6222447546561787
65,674,-2.608978281449617
66,678,-2.610128853645121
67,679,-2.6032546180386693
68,683,-2.603169783328283
69,688,-2.5907577170250002
70,689,-2.58693347239475
71,696,-2.583441187590803
72,699,-2.5813188957748947
73,703,-2.573454424887146
74,706,-2.561176671088274
75,714,-2.547275430127391
76,718,-2.536947184906117
77,721,-2.540898100897056
78,722,-2.5303429216180855
79,723,-2.5311685235819046
80,730,-2.5248812283260857
81,736,-2.5310666778428246
82,738,-2.5211845827643966
83,739,-2.522741967306753
84,743,-2.5106395476336854
85,747,-2.501101333437348
86,750,-2.4913776764829745
87,751,-2.4820320809981444
88,752,-2.470668550638163
89,756,-2.4597423529117814
90,765,-2.4685295457526637
91,769,-2.464298795315137
92,770,-2.466896162371986
93,771,-2.453560533998266
94,773,-2.457827011198283
95,774,-2.4589154071163004
96,780,-2.459447360145137
97,784,-2.4483096769936856
98,785,-2.4369515802237487
99,787,-2.4278694208015112
100,789,-2.433473078943496
101,792,-2.429768979604061
102,793,-2.4266939980380204
103,794,-2.4200312243276403
104,795,-2.4150579650143635
105,798,-2.41062436701422
106,802,-2.4077408315740776
107,807,-2.4013836302383367
108,808,-2.400440660995953
109,809,-2.396890799405994
110,815,-2.403753447731934
111,825,-2.401418040714615
112,828,-2.3926912166874685
113,832,-2.385394739510594
114,836,-2.387534277565488
115,838,-2.3832797884498333
116,843,-2.386762623865335
117,867,-2.3832602954166817
118,869,-2.388810407692515
119,870,-2.38662443107559
120,874,-2.391322017614834
121,876,-2.395595609838686
122,880,-2.382972986990299
123,882,-2.377468379710396
124,890,-2.371413902893292
125,896,-2.3810227442643592
126,900,-2.3821440239317155
127,907,-2.377035454762398
128,908,-2.381889439314774
129,909,-2.3778827509516263
130,910,-2.37596046269211
131,915,-2.365657648515189
132,917,-2.360713943100037
133,920,-2.3629153835890366
134,921,-2.3649049593431464
135,923,-2.358860076019715
136,931,-2.350415984339518
137,932,-2.3382451577461225
138,935,-2.326196039418661
139,942,-2.3259380315244744
140,945,-2.3313628619892297
141,954,-2.3329083875893373
142,956,-2.320912636963444
143,958,-2.31662507898381
144,961,-2.320584577783972
145,962,-2.3266555393161323
146,971,-2.314912162742971
147,972,-2.3055435288955417
148,976,-2.2976326026865865
149,977,-2.290362491559721
150,978,-2.2863804350341237
151,979,-2.281908590353783
152,983,-2.278215718240245
153,984,-2.2724389080678424
154,987,-2.265282700267164
155,988,-2.271373328674492
156,996,-2.276159595387747
157,1000,-2.2666899246238694
158,1002,-2.2735095790476305
159,1004,-2.269274483497154
160,1005,-2.2754992634721827
161,1013,-2.279870020427461
162,1014,-2.2768835262531866
163,1017,-2.278973845210655
164,1025,-2.2737882730285484
165,1027,-2.272435671388263
166,1031,-2.26541752957438
167,1032,-2.2698504419086363
168,1037,-2.2620057392195503
169,1044,-2.266114075857355
170,1055,-2.2731904052487817
171,1057,-2.2675861605162937
172,1063,-2.271172279441131
173,1066,-2.25998373546672
174,1068,-2.2586882456320527
175,1072,-2.2594346957157323
176,1076,-2.2624108176585747
177,1078,-2.267322941951989
178,1083,-2.273243877382469
179,1084,-2.279428963418644
180,1085,-2.2834848258044578
181,1093,-2.288836789946413
182,1099,-2.2878049612969487
183,1103,-2.287303961603979
184,1104,-2.286439290957939
185,1105,-2.2837592289883597
186,1114,-2.272254969948476
187,1119,-2.267367472258991
188,1125,-2.2767602190464014
189,1133,-2.268698498925937
190,1135,-2.265632367596678
191,1155,-2.273865874510711
192,1156,-2.267500841755604
193,1160,-2.261456268328048
194,1161,-2.273412411534768
195,1162,-2.2753211435394203
196,1180,-2.275088257284026
197,1185,-2.2679055559911854
198,1192,-2.2729757885112734
199,1193,-2.2754184454061606
200,1199,-2.2643747867020987
201,1201,-2.2607554288150777
202,1206,-2.257274088316927
203,1208,-2.254976577843758
204,1210,-2.2598168414953204
205,1214,-2.264754905550367
206,1232,-2.2687117180248633
207,1234,-2.266828171594615
208,1236,-2.275437780088669
209,1244,-2.2708559906377825
210,1247,-2.273112466651405
211,1253,-2.2619045208048907
212,1255,-2.2551281720268417
213,1257,-2.2441000691265733
214,1258,-2.2466764896853073
215,1261,-2.241813891058454
216,1266,-2.23317623992787
217,1274,-2.222555003278591
218,1281,-2.225552820455805
219,1287,-2.2180031743212467
220,1291,-2.2163661289680343
221,1292,-2.205912993428354
222,1293,-2.2069911182040705
223,1294,-2.19804620702203
224,1300,-2.1916339262318094
225,1310,-2.1946298680094913
226,1312,-2.1923044229893964
227,1315,-2.2017985435595024
228,1316,-2.2052042875439075
229,1319,-2.2124557262484683
230,1325,-2.2096580918759834
231,1327,-2.2165075267872236
232,1330,-2.2270419411093516
233,1333,-2.230485807068258
234,1336,-2.2260160010075754
235,1337,-2.2253009054475
236,1355,-2.2169872901530248
237,1366,-2.223734942061495
238,1370,-2.2227203008708796
239,1385,-2.2211237293121706
240,1388,-2.214199848399049
241,1389,-2.2151287169750584
242,1391,-2.220025621825308
243,1392,-2.217446219267055
244,1412,-2.2134443454243846
245,1413,-2.2199941127501406
246,1414,-2.2114138031526394
247,1419,-2.206056421431113
248,1422,-2.214267351606802
249,1426,-2.218072389560734
250,1428,-2.222741817685127
