,Step,Value
0,5,-2.7087087631225586
1,18,-2.7004394090175627
2,24,-2.694323903763294
3,40,-2.7003659824327224
4,42,-2.692075193683072
5,44,-2.6802989508233135
6,45,-2.6748003088301866
7,47,-2.6671785195308706
8,53,-2.6656919188143218
9,56,-2.668941103237171
10,65,-2.6742293051770587
11,71,-2.6606120121252883
12,73,-2.6544604370250924
13,74,-2.648973102228053
14,79,-2.6400875374750745
15,87,-2.6359180668816653
16,94,-2.6210820650286903
17,102,-2.6224074768498693
18,105,-2.619051928063274
19,106,-2.6167565389401117
20,113,-2.604208605079565
21,118,-2.58949985228263
22,126,-2.5895064932213208
23,130,-2.574944761542968
24,139,-2.5724637966126274
25,150,-2.574925971047319
26,155,-2.564882926241631
27,158,-2.552853728508069
28,167,-2.540617116414867
29,168,-2.530064746978013
30,178,-2.520606795936532
31,183,-2.506734061231027
32,185,-2.5004844541449467
33,186,-2.488435583943936
34,190,-2.484524679242039
35,198,-2.48191083723096
36,206,-2.475374557189644
37,207,-2.4732119042042653
38,212,-2.4600029639780643
39,223,-2.4625286839262963
40,229,-2.4618586206473667
41,234,-2.4676203478373466
42,237,-2.4641668525842233
43,249,-2.459800414466096
44,255,-2.454919391970834
45,260,-2.446076412955911
46,263,-2.4405372172200592
47,267,-2.438793135216621
48,271,-2.425738537118315
49,273,-2.431573317217255
50,292,-2.4344979390598835
51,297,-2.4259956560975837
52,298,-2.429690881135271
53,303,-2.428193972037816
54,308,-2.4248854834549802
55,310,-2.4139285538123096
56,318,-2.418413607377885
57,319,-2.4211197157880537
58,326,-2.4184535830794838
59,327,-2.407560972440568
60,330,-2.4110215951876284
61,339,-2.400036379235752
62,347,-2.405392452172826
63,363,-2.399945493192937
64,367,-2.397802577510428
65,373,-2.394964903030795
66,377,-2.39798495147592
67,379,-2.3853384352150213
68,391,-2.3834934198318347
69,392,-2.3878776633564476
70,408,-2.3776185182517375
71,421,-2.386204677334204
72,422,-2.3854134976224772
73,424,-2.3768467190229003
74,430,-2.3715782520710897
75,439,-2.3609874695503787
76,441,-2.3625500096345378
77,442,-2.3659335723052215
78,445,-2.359994443558106
79,451,-2.355820335924054
80,460,-2.361064215103418
81,463,-2.354084007942313
82,464,-2.350818398270605
83,474,-2.35902504945483
84,489,-2.360077655081345
85,491,-2.3565694707699114
86,493,-2.3558723020441157
87,507,-2.3595539340384755
88,512,-2.3494151851453258
89,514,-2.3407748350211675
90,517,-2.3287004199248162
91,525,-2.3205579248026402
92,531,-2.318492696850085
93,533,-2.313480358229973
94,536,-2.305913735923995
95,542,-2.2943777773805967
96,547,-2.284218809673014
97,557,-2.2820941112956747
98,559,-2.2739790522551666
99,563,-2.2724619699578654
100,569,-2.2612605290741286
101,573,-2.256482975796785
102,579,-2.249205502415465
103,581,-2.243216179429808
104,582,-2.2459051247369506
105,584,-2.246907610850726
106,586,-2.2490813908632825
107,587,-2.2420191486556993
108,592,-2.250659247505751
109,593,-2.251223522092309
110,602,-2.2492542732643606
111,608,-2.250952907423044
112,610,-2.2593716491656166
113,615,-2.2623484015765483
114,620,-2.2552930988371043
115,622,-2.248308349125055
116,634,-2.238261163222534
117,641,-2.2272118848441695
118,642,-2.2315857291877137
119,644,-2.223975753968285
120,646,-2.2145208064948254
121,647,-2.21759896564408
122,649,-2.226095426053252
123,661,-2.2191218281693676
124,664,-2.2197306096015716
125,668,-2.21115293503441
126,671,-2.219064608580184
127,674,-2.2082072957482426
128,678,-2.2084297505503123
129,679,-2.21339364506904
130,683,-2.217477658008761
131,688,-2.210447390505746
132,689,-2.2158791490721543
133,696,-2.2195756198609433
134,699,-2.2183533147998764
135,703,-2.219038307633781
136,706,-2.215974138346429
137,714,-2.209101753339613
138,718,-2.2022980921828648
139,721,-2.1954196203381082
140,722,-2.1953219633841474
141,723,-2.1972033298937994
142,730,-2.1918617315847904
143,736,-2.1981622919918733
144,738,-2.1877038478877964
145,739,-2.1811141657855666
146,743,-2.1708262029435526
147,747,-2.181891049396478
148,750,-2.1865925151079573
149,751,-2.1848191821962573
150,752,-2.1779709903742948
151,756,-2.1807790952784436
152,765,-2.17968879404505
153,769,-2.1794369705539096
154,770,-2.1761426010867893
155,771,-2.172773134743127
156,773,-2.1645021938429307
157,774,-2.16135717214292
158,780,-2.1713778405719424
159,784,-2.1652322434425444
160,785,-2.158867277384767
161,787,-2.148801783426761
162,789,-2.1587137666415352
163,792,-2.166212923149314
164,793,-2.1781136687118274
165,794,-2.172835264063207
166,795,-2.1780370028036478
167,798,-2.187068598241157
168,802,-2.1781538865991843
169,807,-2.1897056802717976
170,808,-2.190328948652948
171,809,-2.1905089917050233
172,815,-2.179937235041834
173,825,-2.175742028960718
174,828,-2.1655077874869524
175,832,-2.1644833410589213
176,836,-2.1750907597502303
177,838,-2.1837201655491816
178,843,-2.1883182961919685
179,867,-2.1867103436377637
180,869,-2.19580962699643
181,870,-2.1892801024275155
182,874,-2.178910480219082
183,876,-2.185308187817709
184,880,-2.1747884391933923
185,882,-2.165996529141897
186,890,-2.1637624006520073
187,896,-2.1679333565672096
188,900,-2.1662540230015375
189,907,-2.1751201163660348
190,908,-2.1794979463837096
191,909,-2.1814765512857175
192,910,-2.1731185762200953
